Timestamp,Result Title,Result Confidence
20201230_073656,noise face signs.mp4 00.00 03:00
20201230_073941,Grel ennan R Brace Rd STOP BAACE R T
20201230_073942,BLVD TRANQUILITY BLVD T
20201230_073943,BLVD TRANQUILITY BLVD T
20201230_073943,TRANQUILITY BLVD BLVD
20201230_073944,BLVD TRANQUILITY BLVD T
20201230_073945,BLVD TRANQUILITY BLVD T
20201230_073946,BLVD TRANQUILITY BLVD T
20201230_073946,BLVD TRANQUILITY BLVD T
20201230_073947,500 High st 200 THUnter T
20201230_073948,500 High s 200 THUnter
20201230_073949,500 s 20 THUntern T
20201230_073949,500 s THUnter T
20201230_073950,High S 200 THUnter T
20201230_073951,500 s 2O00l THnter T
20201230_073951,High s 200 THUnter
20201230_073952,ONLY NO TRUMP ANYTIME T
20201230_073953,ONLY NO TRUMP ANYTIME T
20201230_073954,ONLY NO TRUMP ANYTIME T
20201230_073954,ONLY NO TRUMP ANYTIME T
