Timestamp,Result Title,Result Confidence
20201230_074042,nolse face_signs.mp4 00:00 03/00
20201230_074249,Black Lives Matter AVENUE Stonewall s UE HISTORIC DISTRICT T
20201230_074250,Black Lives Matter AVENUE Stonewall s UE HISTORIC DISTRICT T -*
20201230_074250,Black Lives Matter AVENUE Stone wall s7 VE HISTORIC DISTRICT T
20201230_074251,Black Lives Matter AVENUE Stonewall sT VE HISTORIC DISTRICT T
20201230_074252,Black Lives Matter AVENUE Stonevwall s a HISTORIC DISTRICT T -
20201230_074253,ONE AY ONE WA BROADWAY A 5 NO STANDING ANYTIME T
20201230_074253,ONE AY Asqas ONE WA BROADWAY A 5 NO STANDING ANYTIME T
20201230_074254,ONE AY Asqa ONE WA BROADWAY AV 5 NO STANDING ANYTIME T
20201230_074255,ONE AY Asqa ONE WA BROADWAY AV 5 NO STANDING ANYTIME
20201230_074256,ONE AY ONE WAY BROADWAY 5 A NO STANDING ANYTIME T
20201230_074256,ONE AY Aqaats ONE WAY BROADWAY A 5 NO STANDING ANYTIME T -
20201230_074257,ONE AY ONE HA BROADWAY AV 5 NO STANDING ANYTIME T
20201230_074258,Ohio St Historic South Norfolk Chesapeake Ave Historic Sonth Norfolk STOP T -
20201230_074258,Ohio St Historic Squth Nortolk Chesapeake Ave Historic South Norfolk STOP
20201230_074259,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP T -
20201230_074300,Ohio St Historic Squth Norfolk Chesapeake Ave Historic South Norfolk STOP T
20201230_074301,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_074301,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP . T
20201230_074302,Ohio St Historic South Norfolk Chesapeake Ave Historic Soxth Norfolk STOP
20201230_074303,STOP T
20201230_074303,STOP T
20201230_074304,STOP
20201230_074305,STOP T
20201230_074306,STOP T
20201230_074306,STOP T
20201230_074307,STOP T
20201230_074308,ALTO ALTC T
20201230_074309,ALTO ALTC T
20201230_074309,ALTOJ ALTC T
20201230_074310,ALTO ALTG T
20201230_074311,ALTO ALTC T
20201230_074311,ALTO ALTC T -
20201230_074312,TOW AWAY NO PA KING 9AM-1:30PM FTOWED27-3000 T
20201230_074313,TOWAWAY NO PARKING 9AM-1:30PM EATOWE27-5000 T
20201230_074314,TOW AWAY NO PARKING 9AM-1:30FPM ETOWED27-5000 T
20201230_074314,TOW AWAY NO PARKING 9AM-1:30PM UETOWED 27:5000 T
20201230_074315,TOW.AWAY NO PARKING 9AM-1:30PM ETOWED27-5000 T
20201230_074316,TOW AWAY NO PARKING 9AM-1:30PM FTOWEDT27-5000
20201230_074317,TOW AWAY NO PARKING 9AM-1:30PM UF TOWED27-5000
20201230_074317,STREET OF THE WESTERNLA STREBT OF THE STARBOARDIANTERN T
20201230_074318,STREET OF THE WESTERNLA STREBT OFFHE STARBOARDIANTERN T -
20201230_074319,WESTERNLA WR STREET OR THE STREBT OFTHE STARBOARDIANTER T
20201230_074319,STREET OR THE WESTERNLA STREBT OFHE STARBOARDIANTERN T
20201230_074320,STREET OF THE WESTERN LA STREBT OF THE STARBOARDIANTERN T
20201230_074321,WESTERN LA WE STREET OF THE STREBT OFTHE STARBOARDIANTERN T -
20201230_074322,WESTERNLA WE STREET OR THE STREBT OFHE STARBOARDIANTERN T
20201230_074322,Grennan R Brace Rd STOP BAACE
20201230_074323,Gren nnan Ra Brace Re |STOP -
20201230_074324,Grennan Brace Ra |STOP BRACE -
20201230_074325,Gren nnan R Brace Ra STOP BRACE T
20201230_074325,Grennan R Brace R STOP CE T -
20201230_074326,Gren nnan Rd Brace Ra STOP T -
20201230_074327,Grel ennan R Brace Ra ISTOP T -
20201230_074327,BLVD TRANQUILITY BLVD T
20201230_074328,BLVD TRANQUILITY BLVD T
20201230_074329,BLVD TRANQUILITY BLVD T
20201230_074330,BLVD TRANQUILITY BLVD T
20201230_074330,BLVD TRANQUILITY BLVD T
20201230_074331,BLVD TRANQUILITY BLVD T
20201230_074332,BLVD TRANQUILITY BLVD T
20201230_074333,500 S HUnter T
20201230_074333,High s 2000l L Unter T
20201230_074334,9 High s 200 HUnter
20201230_074335,500 High st 200l L Untere
20201230_074335,500 s 2000L L Unterie
20201230_074336,500 S 200 HUnter T
20201230_074337,500 Highst 20 Unterie T
20201230_074338,ONLY NO TRUMP ANYTIME
20201230_074338,ONLY NO TRUMP ANYTIME
