Timestamp,Result Title,Result Confidence
20201230_074841,nolse face_signs.mp4 00:00 03:00
20201230_075121,STREET OF THE WESTERN LA STREBT OFHE ANTERN STARBOARD T
20201230_075121,STREET OF THE WESTERN LA STREBT OFTHE ANTERN STARBOARD
20201230_075122,ennan Rd Brace R |STOP BAACE T -
20201230_075123,Grennan R Brace R STOP BRCE RI T
20201230_075123,Gren nnan R Brace Rd |STOP BANCE R T
20201230_075124,Rd rennan Brace R STOP BRNCE R T -
20201230_075125,Grennan Rd Brace Ra STOP BRMCE T -*
20201230_075126,Grennan Brace Ra STOP BRNCE R T
20201230_075126,Ra Grennan Brace R |STOP BAACE
20201230_075127,BLVD TRANQUILITY BLVD T
20201230_075128,TRANQUILITY BLVD BLVD
20201230_075129,BLVD TRANQUILITY BLVD T
20201230_075129,BLVD TRANQUILITY BLVD T
20201230_075130,BLVD TRANQUILITY BLVD T
20201230_075131,TRANQUILITY BLVD BLVD
20201230_075131,500 High 200 CHUnteran T
20201230_075132,500 S St 200 HUter T
20201230_075133,500 st S 200 THUnteru T
20201230_075134,High s 2O0 TUntere
20201230_075134,High s 20 E HUnterm T
20201230_075135,High s 20 Unter T
20201230_075136,500 S High t 200 HUNteran
20201230_075136,ONLY NO TRUMP ANYTIME T
20201230_075137,ONLY NO TRUMP ANYTIME T
20201230_075138,ONLY NO TRUMP ANYTIME
20201230_075139,ONLY NO TRUMP ANYTIME T
