Timestamp,Result Title,Result Confidence
20201230_121715,bird face_signs.mp4 00:00 03:00
20201230_121932,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_121933,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP T
20201230_121934,Ohio St Historic South Norfolk Chesapeake Ave Historic Sonth Norfolk STOP T
20201230_121934,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP T
20201230_121935,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_121936,STOP
20201230_121936,STOP
20201230_121937,STOP
20201230_121938,STOP
20201230_121939,STOP
20201230_121939,STOP
20201230_121940,STOP
20201230_121941,AM ALTO ALTC
20201230_121941,A ALTO ALTC
20201230_121942,A ALTO ALTC
20201230_121943,LA ALTO ALTC
20201230_121944,A ALTO ALTC
20201230_121944,LA ALTO ALTC
20201230_121945,ALTO ALTC
20201230_121946,TOWAWAY NO PARKING. M NY 9AM-1:30PM FTOWED27-5000
20201230_121947,TOWAWAY NO PARKING ME 9AM-1:30PM ETOWE27-5000
20201230_121947,TOW.AWAY NO PARKING. M 9AM-1:30PM UETOWED27-5000
20201230_121948,TOW.AWAY NO PARKING 9AM-1:30PM FTOWED27-5000
20201230_121949,TOWAWAY NO PARKING M 94AM-1:30PM F1OWED27-5000
20201230_121950,TOWAWAY NO PARKING M 9AM-1:30PM UETOWE27-5000 T
20201230_121950,TOW AWAY NO PARKING 9AM-1:30PM UFTOWED27-5000
20201230_121951,STREET OF THE WESTERNLA STREHTOF THE STARBOARD IANTERN 2
20201230_121952,STREET OF THE WESTERNL STREArOF THE STARBOARD IANTERN 2
20201230_121952,STREET OF THE WESTERNLA STREHTOF THE STARBOARDIANTERN
20201230_121953,STREET OF THE WESTERN LA STREBTOF THE STARBOARD IANTERN
20201230_121954,STREET OF THE WESTERN LA STREBTOF THE STARBOARD IANTERN
20201230_121955,STREET OF THE WESTERNLA STREBTOF THE STARBOARD IANTERN
20201230_121955,Rd Grennan Brace Rd STOP
20201230_121956,Crennan Rd Brace R STOP
20201230_121957,Rd Grennan Brace Rt STOP
20201230_121958,Grennan R Brace Ra STOP
20201230_121958,R Grennan Brace R STOP
20201230_121959,Grennan Ra Brace R STOP
20201230_122000,Crennan Rd Brace R STOP
20201230_122000,BLVD TRANQUILITY BLVD T
20201230_122001,BLVD TRANQUILITY BLVD
20201230_122002,BLVD TRANQUILITY BLVD T
20201230_122003,BLVD TRANQUILITY BLVD T
20201230_122003,BLVD TRANQUILITY BLVD T
20201230_122004,BLVD TRANQUILITY BLVD T
20201230_122005,BLVD TRANQUILITY BLVD T
20201230_122006,500 High st THUnter
20201230_122006,500 Hiah st 20 HUnter
20201230_122007,500 Hiah St 20 THUNter
20201230_122008,500 Hiah st HUntere
20201230_122008,500 Hiah st S THUNter
20201230_122009,500 Hiah st S HUnter
20201230_122010,500 High st HUntere
20201230_122011,ONLY NO TRUMP ANYTIME
20201230_122011,ONLY NO TRUMP ANYTIME
