Timestamp,Result Title,Result Confidence
20201230_100833,T
20201230_100834,T
20201230_100839,T
20201230_100841,T
20201230_100848,T
20201230_100849,T
20201230_100850,T
20201230_100902,T
20201230_100903,--
20201230_100904,1
20201230_100904,1
20201230_100908,T
20201230_100915,1
20201230_100922,T
20201230_100926,T
20201230_100931,A
20201230_100933,T
20201230_100934,T
20201230_100935,T
20201230_100944,T
20201230_100947,M
20201230_100948,T
20201230_100950,T
20201230_100951,T
20201230_100952,M
20201230_100957,T
20201230_101000,T
20201230_101001,T
20201230_101002,A
20201230_101002,T
20201230_101003,T
20201230_101004,T
20201230_101004,A
20201230_101005,A
20201230_101006,T
20201230_101017,Aa
20201230_101020,--
20201230_101023,T
20201230_101024,T
20201230_101025,T
20201230_101025,T
20201230_101026,T
20201230_101027,9995E
20201230_101028,5
20201230_101029,@DRR5E
20201230_101032,NICOLE PL 7800 N NO OUTLET
20201230_101033,NICOLE PL 7800 N NO OUTLET
20201230_101034,NICOLE PL 7800 N NO OUTLET
20201230_101034,NICOLE PL 7800 N NO OUTLET
20201230_101035,NICOLE PL 7800 N NO OUTLET
20201230_101036,NICOLE PL 7800 N NO OUTLET
20201230_101036,NICOLE PL 7800 N NO OUTLET
20201230_101037,Black Lives Matter AVENUE Stonewall sT HISTORIC DISTRICT
20201230_101038,Black Lives Matter AVENUE Stonewall sT ar DiSTRICT O HISTORIC
20201230_101039,Black Lives Matter AVENUE Stonewall sT HISTORIC DISTRICT
20201230_101039,Black Lives Matter AVENUE Stonewall S HISTORIC L DISTRICT
20201230_101040,Black Lives Matter AVENUE Stonewall sT HISTORIC DISTRICT
20201230_101041,Black Lives Matter AVENUE Stonewall ST V T HISTORIC DISTRICT
20201230_101042,ONE AY AN atu ONE WA BROADWAY AV NO STANDING ANYTIME
20201230_101042,ONE AY ONE WAY BROADWAY A NO STANDING ANYTIME
20201230_101043,ONE A A ONE WAY BROADWAY AY NO STANDING ANYTIME
20201230_101044,ONE AY ONE HAY BROADWAY A NO STANDING ANYTIME
20201230_101045,ONE AY A ONE WAY BROADWAY A NO STANDING ANYTIME
20201230_101045,ONE AY AN ONE WAY BROADWAY A NO STANDING ANYTIMEE T
20201230_101046,ONE AY ONE WA BROADWAY AV NO STANDING ANY TIME
20201230_101047,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk SIOPE
20201230_101047,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_101048,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_101049,Ohio St Historic Souith Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_101050,Ohio St Historic Souith Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_101050,Ohio St Historic Souith Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_101051,Ohio St Historic South Norfolk Chesapeake Ave Historic South Norfolk STOP
20201230_101052,STOP
20201230_101053,STOP 7
20201230_101053,STOP
20201230_101054,STOP
20201230_101055,STOP
20201230_101055,STOP
20201230_101056,STOP
20201230_101057,ALTO ALTC
20201230_101058,ALTO ALTC
20201230_101058,ALTO ALTC
20201230_101059,ALTO ALTG T
20201230_101100,ALTO ALTC T
20201230_101101,ALTO ALTC T
20201230_101101,ALTO ALTC
20201230_101102,TOW AWAY NO PARKING| 94M-1:30PM FTOWE27-5000
20201230_101103,TOW AWAY NO PARKING ME AMY 94M-1:30PM FTOWED27:5000
20201230_101103,TOW AWAY NO PARKING ME ANY 9AM-1:30PM FTOWED27-5000
20201230_101104,TOW AWAY NO PARKING 9AM-1:30PM FTOWED27-5000
20201230_101105,TOW AWAY NO PARKING 9AM-1:30PM UFTOWED27-5000
20201230_101106,TOW AWAY NO PARKING M ANY 9AM-1:30PM FTOWED27-5000
20201230_101106,TOW AWAY NO PARKING 9AM-1:30PM FTOWED 27-5000
20201230_101107,STREET OF THE WESTERNLA STREBT OFEHE STARBOARDIANTERN
20201230_101108,STREET OF THE WESTERNL STREHTOFTHE STARBOARDIANTERN
20201230_101109,STREET OF THE WESTERNLA STREBT OFTHE STARBOARDIANTERN
20201230_101109,STREET OF THE WESTERNLA STREBT OFCHE STARBOARDIANTERNV
20201230_101110,STREET OF THE WESTERNL STREBTOFTHE STARBOARDIANTERN ENN
20201230_101111,STREET OR THE WESTERNLA STREBT OFHE STARBOARDIANTERN
20201230_101111,STREET OF THE WESTERNLA STREBT OFHE STARBOARDIANTERN
20201230_101112,Ra Grennan Brace Ra STOP BRACE
20201230_101113,Rd Grennan Brace R STOP BRACE
20201230_101114,Grennann BraceRd STOP BRACE
20201230_101114,Grennan R BraceR STOP BAACE
20201230_101115,Grennan Brace R STOP BRACE
20201230_101116,Grennan R BraceRa STOP BRACE T
20201230_101117,Grennan Ra Brace Ra STOP BRACE
20201230_101117,TRANQUILITY BLVD BLVD
20201230_101118,TRANQUILITY BLVD BLVD
20201230_101119,TRANQUILITY BLVD BLVD
20201230_101119,TRANQUILITY BL BLVD
20201230_101120,TRANQUILITY BLVD BLVD
20201230_101121,TRANQUILITY BLVD BLVD
20201230_101121,TRANQUILITY BLVD BLVD
20201230_101122,500 High st HUunter S 2000
20201230_101123,500 u: S Hunter
20201230_101124,500 High t HUnter S 2O00|1
20201230_101124,S High s HUunter 20
20201230_101125,500u: S Hunter
20201230_101126,500 LU S 2000 HUnter
20201230_101127,STOHigh st 2O00 HUunter
20201230_101127,ONLY NO TRUMP ANYTIME
20201230_101128,ONLY NO TRUMP ANYTIME - T
20201230_101129,ONLY NO TRUMP ANYTIME -
