
--------------------------------------------------------------------------------
    MAR SECURITY - AUTOMATED TEST SUITE
--------------------------------------------------------------------------------


--------------------------------------------------------------------------------
    MAR SECURITY - TESTING APPLICATION: mugtracker2D_orig
--------------------------------------------------------------------------------

Application output directory created at: output/mugtracker2D_orig
Output will be written to file: sanityCheck2D.2019-11-11.192954.csv

Running test script with params: 
	 Application package name: 		 edu.temple.attack_prototypes.vuforia.v0_2d
	 Application local name: 		 mugtracker2D_orig
	 Run time (min): 			 10
	 Data collection interval (seconds): 	 5
	 Total number of trials: 		 120
	 Reading from image directory: 		 /Users/slehr/Projects/MAR_Security/scripts/imgs
	 Reading from image file list: 		 sanityCheck2D

  bash arg: -p
  bash arg: edu.temple.attack_prototypes.vuforia.v0_2d
  bash arg: 1
Events injected: 1
## Network stats: elapsed time=36ms (0ms mobile, 0ms wifi, 36ms not connected)

--------------------------------------------------------------------------------

App PID: 9014
Trial start time (ms): 1573518594802

TRIAL,ELAPSED_TIME_MS,IMG_FILE,CPU_PERC,MEM_PERC,EM_STOR_SIZE_KB,EM_STOR_AVAIL_KB,EM_STOR_USED_KB,EM_STOR_USE_PERC,APP_DIR_SIZE_KB,TOTAL_MEM_KB,FREE_MEM_KB,AVAIL_MEM_KB,FLAGS,UTIME,STIME,CUTIME,CSTIME,PRIORITY,NUM_THREADS,START_TIME,RSS
19,2724,blank.png,61.2,5.8,54725904,50591724,4134180,8,DNE,3667952,188696,1365580,1077952832,6884,1086,0,0,10,79,5858,53527
20,2713,blank.png,60.0,5.8,54725904,50591724,4134180,8,DNE,3667952,189272,1366224,1077952832,7050,1117,0,0,10,79,5858,53573
21,2688,blank.png,70.9,5.8,54725904,50591724,4134180,8,DNE,3667952,188700,1365652,1077952832,7225,1141,0,0,10,79,5858,54007
22,2691,blank.png,63.3,5.8,54725904,50591724,4134180,8,DNE,3667952,198624,1375576,1077952832,7390,1168,0,0,10,79,5858,53953
23,2699,blank.png,61.2,5.8,54725904,50591724,4134180,8,DNE,3667952,197204,1374156,1077952832,7553,1203,0,0,10,79,5858,54116
24,2684,blank.png,70.0,5.9,54725904,50591724,4134180,8,DNE,3667952,196548,1373516,1077952832,7730,1222,0,0,10,79,5858,54107
25,2724,blank.png,70.0,5.8,54725904,50591724,4134180,8,DNE,3667952,195632,1372448,1077952832,7892,1255,0,0,10,79,5858,54063
26,2718,blank.png,60.0,5.8,54725904,50591724,4134180,8,DNE,3667952,196344,1373168,1077952832,8059,1280,0,0,10,79,5858,54043
27,2719,blank.png,70.9,5.9,54725904,50591724,4134180,8,DNE,3667952,196212,1373036,1077952832,8245,1302,0,0,10,79,5858,54235
28,2719,blank.png,61.2,5.8,54725904,50591724,4134180,8,DNE,3667952,193660,1370504,1077952832,8419,1333,0,0,10,79,5858,53960
29,2717,blank.png,70.9,5.9,54725904,50591724,4134180,8,DNE,3667952,194440,1371292,1077952832,8587,1363,0,0,10,79,5858,54278
30,2719,blank.png,73.3,5.9,54725904,50591724,4134180,8,DNE,3667952,192708,1369560,1077952832,8767,1386,0,0,10,79,5858,54538
31,2788,coca_cola.jpg,74.1,5.9,54725904,50591724,4134180,8,DNE,3667952,193564,1370424,1077952832,8944,1417,0,0,10,81,5858,54434
32,2713,coca_cola.jpg,74.1,5.9,54725904,50591724,4134180,8,DNE,3667952,192784,1369676,1077952832,9116,1445,0,0,10,79,5858,54557
33,2729,coca_cola.jpg,64.5,5.9,54725904,50591724,4134180,8,DNE,3667952,190536,1367428,1077952832,9282,1474,0,0,10,79,5858,54456
34,2694,coca_cola.jpg,56.6,5.9,54725904,50591720,4134184,8,DNE,3667952,190376,1367280,1077952832,9436,1507,0,0,10,79,5858,54671
35,2701,coca_cola.jpg,64.5,5.9,54725904,50591720,4134184,8,DNE,3667952,191140,1368044,1077952832,9581,1535,0,0,10,79,5858,54577
36,2722,coca_cola.jpg,61.2,5.9,54725904,50591716,4134188,8,DNE,3667952,188540,1365448,1077952832,9737,1566,0,0,10,79,5858,54560
37,2699,coca_cola.jpg,61.2,5.9,54725904,50591716,4134188,8,DNE,3667952,188276,1365184,1077952832,9908,1586,0,0,10,79,5858,52881
38,2705,coca_cola.jpg,61.2,5.7,54725904,50591716,4134188,8,DNE,3667952,187068,1364012,1077952832,10064,1623,0,0,10,79,5858,52741
39,2700,coca_cola.jpg,64.5,5.7,54725904,50591716,4134188,8,DNE,3667952,187616,1364564,1077952832,10230,1652,0,0,10,79,5858,52693
