RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,112,116,112,112,91.6,108.72,108.72
2,119,112,113,112,108,112.8,111.78
3,100,79.4,106,112,100,99.48,102.56
4,100,109,103,103,110,105,104.39
5,119,109,112,113,106,111.8,109.95
6,115,119,119,116,109,115.6,114.19
7,122,106,116,116,109,113.8,113.9
8,112,112,109,123,90.3,109.26,110.42
9,112,103,116,103,116,110,110.1
10,110,103,112,106,112,108.6,108.98
11,112,129,109,112,116,115.6,113.94
12,116,116,109,109,109,111.8,112.34
13,97,115,122,113,116,112.6,112.53
14,109,115,103,112,125,112.8,112.73
15,116,103,116,118,116,113.8,113.53
16,110,110,112,106,112,110,110.88
17,109,119,128,112,116,116.8,115.32
18,113,122,109,116,106,113.2,113.73
19,106,103,116,106,109,108,109.43
20,100,109,112,138,134,118.6,116.31
21,109,108,112,109,109,109.4,111.13
22,116,132,90.6,119,109,113.32,112.77
23,115,109,105,103,109,108.2,109.34
24,120,132,113,122,112,119.8,117.19
25,125,109,119,110,122,117,117.05
26,116,120,120,119,109,116.8,116.86
27,100,109,109,109,122,109.8,111.57
28,106,119,119,122,118,116.8,115.49
29,106,112,106,112,109,109,110.62
30,112,109,116,122,109,113.6,112.86
31,112,112,116,112,106,111.6,111.91
32,118,119,112,125,109,116.6,115.43
33,103,129,109,112,103,111.2,112.26
34,106,119,103,112,112,110.4,110.86
35,112,114,112,112,112,112.4,112.02
36,128,115,112,124,115,118.8,117.1
37,131,109,115,112,109,115.2,115.68
38,109,112,115,109,112,111.4,112.47
39,109,112,109,117,121,113.6,113.32
40,109,124,103,112,125,114.6,114.28
41,108,115,112,109,115,111.8,112.42
42,108,109,118,112,108,111,111.35
43,115,118,124,120,115,118.4,116.64
44,118,115,115,108,121,115.4,115.71
45,115,112,115,105,105,110.4,111.73
46,118,112,115,118,108,114.2,113.58
47,112,115,111,111,121,114,113.9
48,121,112,120,124,102,115.8,115.32
49,115,118,115,124,111,116.6,116.28
50,115,127,106,115,112,115,115.32
51,112,114,115,109,111,112.2,112.98
52,109,124,117,109,128,117.4,116.3
53,117,108,115,115,114,113.8,114.42
54,109,118,118,128,118,118.2,117.26
55,109,112,115,112,112,112,113.31
56,120,112,109,111,112,112.8,112.93
57,115,130,124,131,130,126,122.73
58,112,109,114,115,115,113,115.43
59,,,,,,,
60,,,,,,,
