RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,112,100,122,112,109,111,111
2,106,106,112,109,111,108.8,109.35
3,115,106,112,112,109,110.8,110.44
4,125,113,109,93.7,106,109.34,109.61
5,115,114,112,110,112,112.6,111.85
6,116,112,110,112,113,112.6,112.41
7,118,118,109,126,136,121.4,119.15
8,106,112,103,113,113,109.4,111.84
9,115,109,123,112,106,113,112.71
10,122,113,106,112,116,113.8,113.53
11,112,112,109,133,106,114.4,114.18
12,109,106,109,122,112,111.6,112.25
13,124,103,118,116,109,114,113.56
14,124,106,109,119,112,114,113.89
15,121,106,110,112,118,113.4,113.52
16,109,120,109,109,109,111.2,111.78
17,112,106,125,125,113,116.2,115.1
18,112,109,109,106,125,112.2,112.92
19,106,112,113,112,112,111,111.48
20,115,125,118,129,116,120.6,118.32
21,109,109,109,112,112,110.2,112.23
22,118,115,109,100,100,108.4,109.36
23,106,125,106,112,103,110.4,110.14
24,108,118,113,123,121,116.6,114.98
25,112,109,119,116,109,113,113.5
26,112,121,109,109,121,114.4,114.17
27,115,115,129,122,103,116.8,116.14
28,112,106,113,126,115,114.4,114.84
29,118,112,119,109,115,114.6,114.66
30,125,131,113,116,112,119.4,118.21
31,109,109,109,109,116,110.4,112.35
32,111,121,112,115,118,115.4,114.64
33,112,102,116,112,119,112.2,112.81
34,112,121,122,112,118,117,115.95
35,127,111,109,115,109,114.2,114.64
36,117,125,112,121,115,118,117.16
37,112,111,109,112,115,111.8,113.14
38,109,115,106,115,112,111.4,111.83
39,124,118,118,109,121,118,116.46
40,112,112,112,118,112,113.2,114.01
41,112,112,109,114,108,111,111.75
42,112,105,125,121,109,114.4,113.74
43,118,127,105,105,118,114.6,114.38
44,118,111,108,115,128,116,115.6
45,112,115,118,109,108,112.4,113.2
46,112,121,112,112,105,112.4,112.6
47,115,111,115,121,109,114.2,113.8
48,108,112,121,115,112,113.6,113.65
49,112,106,115,112,124,113.8,113.76
50,112,112,121,118,125,117.6,116.64
51,109,121,115,111,112,113.6,114.36
52,109,112,115,112,115,112.6,113.04
53,109,121,112,115,117,114.8,114.36
54,124,109,112,114,112,114.2,114.24
55,118,115,133,121,108,119,117.81
56,102,128,118,121,109,115.6,116.15
57,118,115,102,112,112,111.8,112.89
58,111,105,108,115,121,112,112.22
59,,108,106,114,112,110,110.56
60,,,,,,,
