RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,119,115,118,109,106,113.4,113.4
2,106,112,106,125,118,113.4,113.4
3,113,103,110,103,109,107.6,109.05
4,110,110,122,120,128,118,115.76
5,120,106,109,109,112,111.2,112.34
6,109,119,112,106,112,111.6,111.79
7,123,112,109,109,109,112.4,112.25
8,110,116,106,129,115,115.2,114.46
9,110,119,113,109,116,113.4,113.67
10,113,116,109,113,112,112.6,112.87
11,109,112,110,118,109,111.6,111.92
12,110,126,113,112,119,116,114.98
13,113,120,125,116,112,117.2,116.64
14,109,106,112,122,132,116.2,116.31
15,130,126,125,109,112,120.4,119.38
16,110,125,106,103,118,112.4,114.14
17,113,121,116,109,116,115,114.79
18,110,115,113,109,112,111.8,112.55
19,106,106,129,116,119,115.2,114.54
20,106,106,106,109,125,110.4,111.43
21,113,103,116,113,129,114.8,113.96
22,112,125,110,116,118,116.2,115.64
23,116,116,109,113,112,113.2,113.81
24,110,115,112,112,118,113.4,113.5
25,110,112,122,109,112,113,113.13
26,110,112,109,106,109,109.2,110.18
27,106,109,109,126,118,113.6,112.75
28,110,109,106,109,105,107.8,109.04
29,120,106,116,103,109,110.8,110.36
30,110,109,109,106,116,110,110.09
31,106,109,112,116,132,115,113.77
32,116,109,125,125,109,116.8,116.04
33,103,123,112,116,106,112,113.01
34,110,121,121,115,124,118.2,116.9
35,109,109,118,118,112,113.2,114.13
36,106,112,118,112,118,113.2,113.43
37,110,118,112,112,109,112.2,112.51
38,109,108,115,118,121,114.2,113.78
39,109,111,118,112,118,113.6,113.64
40,110,114,121,109,127,116.2,115.56
41,119,121,112,112,112,115.2,115.29
42,110,112,124,106,125,115.4,115.37
43,122,114,118,115,115,116.8,116.44
44,116,115,115,124,124,118.8,118.21
45,109,127,109,115,109,113.8,114.9
46,109,115,112,112,121,113.8,114.08
47,112,109,118,112,115,113.2,113.42
48,130,108,115,118,112,116.6,115.8
49,106,109,124,117,115,114.2,114.6
50,109,125,112,118,112,115.2,115.05
51,109,118,112,115,115,113.8,114.11
52,113,108,109,112,115,111.4,112.08
53,109,115,109,112,112,111.4,111.57
54,115,108,124,128,106,116.2,115.04
55,122,124,108,121,112,117.4,116.81
56,112,115,112,111,115,113,113.95
57,112,112,109,115,112,112,112.49
58,112,108,115,115,115,113,112.87
59,109,108,121,105,,110.75,111.28
60,109,,103,,,106,107.32
