RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,203,190,R,180,116,172.25,172.25
2,112,186,143,113,103,131.4,141.61
3,113,193,180,200,R,171.5,164.03
4,203,177,172,190,R,185.5,180.13
5,193,193,170,146,125,165.4,169.08
6,109,174,176,174,109,148.4,153.57
7,R,173,175,105,203,164,161.39
8,200,R,R,206,174,193.33,185.35
9,115,200,173,111,200,159.8,166.19
10,152,176,176,R,116,155,157.8
11,177,180,183,120,181,168.2,165.6
12,187,186,175,R,119,166.75,166.46
13,122,180,117,196,190,161,162.37
14,196,177,110,110,106,139.8,145.44
15,116,180,103,R,183,145.5,145.49
16,178,163,154,112,112,143.8,144.22
17,R,210,100,109,114,133.25,135.99
18,187,183,166,146,174,171.2,162.4
19,120,189,163,109,203,156.8,158.2
20,190,124,187,116,89.7,141.34,145.55
21,109,106,170,R,97,120.5,126.76
22,222,151,156,172,206,181.4,167.74
23,180,173,176,112,112,150.6,154.89
24,209,154,186,116,106,154.2,154.37
25,175,160,180,215,176,181.2,174.49
26,135,106,117,112,100,114,129.12
27,109,106,175,209,203,160.4,152.58
28,109,175,193,105,139,144.2,146.3
29,112,166,103,125,115,124.2,129.72
30,116,112,190,R,109,131.75,131.24
31,109,173,113,106,116,123.4,125.36
32,112,180,200,112,109,142.6,138.29
33,150,113,113,108,106,118,123.07
34,R,R,158,R,109,133.5,130.89
35,184,186,117,R,109,149,144.47
36,200,170,R,109,240,179.75,170.93
37,203,182,166,115,109,155,158.98
38,178,125,170,109,215,159.4,159.3
39,187,193,106,109,118,142.6,146.77
40,116,110,140,150,137,130.6,134.64
41,148,196,213,251,136,188.8,175.26
42,193,120,123,224,220,176,175.82
43,R,190,186,112,236,181,179.7
44,112,110,153,115,230,144,152.93
45,R,146,137,237,115,158.75,157.29
46,178,200,113,227,118,167.2,164.72
47,140,159,187,146,114,149.2,153.08
48,206,206,190,112,237,190.2,180.92
49,182,110,190,118,228,165.6,169.43
50,112,137,196,197,227,173.8,172.71
51,144,113,196,223,133,161.8,164.53
52,251,110,106,224,111,160.4,161.43
53,261,136,111,124,115,149.4,152.41
54,196,159,193,112,148,161.6,159.3
55,109,200,186,136,220,170.2,167.48
56,112,200,122,227,R,165.25,165.81
57,109,140,206,227,112,158.8,160.55
58,118,122,109,175,106,126,134.64
59,R,203,212,R,109,174.67,164.66
60,,,,,,,
