RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,113,109,102,125,112,112.2,112.2
2,100,106,119,103,122,110,110.55
3,110,119,115,110,103,111.4,111.19
4,110,119,113,125,115,116.4,115.1
5,106,126,112,112,109,113,113.52
6,120,110,120,109,112,114.2,114.03
7,123,116,119,109,116,116.6,115.96
8,110,113,109,109,112,110.6,111.94
9,106,119,109,116,116,113.2,112.88
10,123,116,113,112,112,115.2,114.62
11,113,109,113,113,125,114.6,114.61
12,103,110,119,103,118,110.6,111.6
13,113,109,116,106,109,110.6,110.85
14,103,109,109,113,112,109.2,109.61
15,123,113,106,116,112,114,112.9
16,103,113,109,106,109,108,109.23
17,119,113,109,106,116,112.6,111.76
18,120,109,116,108,119,114.4,113.74
19,106,112,126,115,118,115.4,114.98
20,112,106,103,112,112,109,110.5
21,113,116,113,112,119,114.6,113.57
22,109,112,106,113,106,109.2,110.29
23,112,109,106,119,118,112.8,112.17
24,112,116,106,112,112,111.6,111.74
25,113,109,110,112,106,110,110.44
26,120,123,109,112,109,114.6,113.56
27,120,113,109,120,115,115.4,114.94
28,103,112,112,103,109,107.8,109.58
29,106,119,112,129,132,119.6,117.1
30,106,118,109,125,124,116.4,116.57
31,110,119,109,131,115,116.8,116.74
32,106,116,112,112,115,112.2,113.34
33,110,109,109,116,114,111.6,112.03
34,113,112,109,109,118,112.2,112.16
35,106,119,112,116,109,112.4,112.34
36,113,128,118,109,118,117.2,115.98
37,116,109,105,120,111,112.2,113.15
38,103,118,133,109,111,114.8,114.39
39,110,118,109,115,115,113.4,113.65
40,113,102,109,117,130,114.2,114.06
41,113,109,109,112,115,111.6,112.22
42,106,109,115,117,105,110.4,110.85
43,110,115,115,112,115,113.4,112.76
44,106,105,131,112,108,112.4,112.49
45,119,112,115,112,112,114,113.62
46,110,118,102,109,124,112.6,112.86
47,103,134,112,123,108,116,115.21
48,110,123,118,115,115,116.2,115.95
49,106,112,131,121,112,116.4,116.29
50,106,115,118,121,109,113.8,114.42
51,110,109,115,112,111,111.4,112.16
52,106,112,115,115,115,112.6,112.49
53,116,109,115,112,108,112,112.12
54,106,112,109,115,115,111.4,111.58
55,100,118,112,127,112,113.8,113.25
56,109,120,111,115,112,113.4,113.36
57,126,111,114,129,102,116.4,115.64
58,123,112,124,118,102,115.8,115.76
59,122,112,108,112,112,113.2,113.84
60,112,112,112,109,108,110.6,111.41
