RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,119,212,116,117,183,149.4,149.4
2,170,183,150,184,106,158.6,156.3
3,109,114,193,117,110,128.6,135.53
4,106,128,190,183,173,156,150.88
5,187,187,125,177,121,159.4,157.27
6,112,143,112,158,190,143,146.57
7,196,177,187,109,148,163.4,159.19
8,178,177,162,158,112,157.4,157.85
9,112,190,177,183,97,151.8,153.31
10,100,117,181,190,193,156.2,155.48
11,216,129,196,116,132,157.8,157.22
12,124,162,123,131,190,146,148.8
13,112,148,120,116,175,134.2,137.85
14,109,174,109,221,180,158.6,153.41
15,106,112,109,109,112,109.6,120.55
16,185,163,112,183,178,164.2,153.29
17,187,181,140,112,109,145.8,147.67
18,178,161,180,109,116,148.8,148.52
19,181,177,109,175,116,151.6,150.83
20,112,100,170,103,109,118.8,126.81
21,109,203,203,200,122,167.4,157.25
22,109,109,212,218,119,153.4,154.36
23,112,188,109,106,193,141.6,144.79
24,225,124,215,170,109,168.6,162.65
25,148,166,112,190,209,165,164.41
26,121,178,196,112,184,158.2,159.75
27,212,177,116,206,106,163.4,162.49
28,112,112,203,106,206,147.8,151.47
29,224,206,112,109,137,157.6,156.07
30,119,109,200,112,112,130.4,136.82
31,112,148,194,132,105,138.2,137.85
32,112,187,225,206,112,168.4,160.76
33,112,206,184,181,115,159.6,159.89
34,115,206,150,175,109,151,153.22
35,127,129,166,196,109,145.4,147.36
36,115,112,206,109,112,130.8,134.94
37,112,190,209,193,118,164.4,157.03
38,130,115,200,168,145,151.6,152.96
39,108,127,209,115,112,134.2,138.89
40,109,206,237,196,112,172,163.72
41,112,109,241,112,112,137.2,143.83
42,115,224,163,236,127,173,165.71
43,115,109,109,237,239,161.8,162.78
44,120,112,112,157,257,151.6,154.39
45,212,151,106,115,215,159.8,158.45
46,223,254,150,112,148,177.4,172.66
47,227,227,230,114,109,181.4,179.22
48,211,155,218,161,109,170.8,172.9
49,134,109,212,218,109,156.4,160.53
50,121,108,221,224,169,168.6,166.58
51,112,117,117,191,257,158.8,160.75
52,115,245,112,151,241,172.8,169.79
53,118,261,112,115,229,167,167.7
54,150,227,112,109,148,149.2,153.82
55,208,118,136,132,115,141.8,144.81
56,228,112,230,217,112,179.8,171.05
57,227,118,233,227,108,182.6,179.71
58,115,148,221,203,139,165.2,168.83
59,121,217,112,115,232,159.4,161.76
60,,,,,,,
