RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,118,116,106,116,109,113,113
2,116,109,110,97.2,109,108.24,109.43
3,112,106,110,119,115,112.4,111.66
4,106,115,125,106,100,110.4,110.71
5,109,116,120,109,109,112.6,112.13
6,125,109,112,116,119,116.2,115.18
7,112,112,109,106,116,111,112.05
8,116,116,110,118,106,113.2,112.91
9,116,106,109,110,109,110,110.73
10,126,106,106,103,118,111.8,111.53
11,116,125,113,113,109,115.2,114.28
12,122,109,112,102,106,110.2,111.22
13,122,112,112,112,106,112.8,112.41
14,116,109,109,116,116,113.2,113
15,110,109,109,109,112,109.8,110.6
16,125,100,109,109,106,109.8,110
17,111,112,112,100,106,108.2,108.65
18,112,112,103,106,112,109,108.91
19,112,128,116,124,109,117.8,115.58
20,112,112,118,109,115,113.2,113.79
21,109,118,106,109,106,109.6,110.65
22,106,128,112,113,115,114.8,113.76
23,106,97,103,126,109,108.2,109.59
24,103,112,103,109,115,108.4,108.7
25,112,112,115,106,112,111.4,110.72
26,93.7,112,112,106,109,106.54,107.59
27,109,109,112,112,109,110.2,109.55
28,100,115,112,119,115,112.2,111.54
29,100,115,115,103,106,107.8,108.73
30,112,115,102,112,112,110.6,110.13
31,105,130,118,119,128,120,117.53
32,106,115,106,106,115,109.6,111.58
33,115,117,108,112,105,111.4,111.45
34,105,117,125,106,131,116.8,115.46
35,112,109,105,106,106,107.6,109.57
36,108,115,103,109,112,109.4,109.44
37,103,112,115,109,105,108.8,108.96
38,108,125,123,115,112,116.6,114.69
39,106,109,112,100,127,110.8,111.77
40,102,112,103,112,106,107,108.19
41,121,128,105,112,106,114.4,112.85
42,108,127,115,112,109,114.2,113.86
43,115,118,102,115,115,113,113.22
44,112,112,124,115,125,117.6,116.5
45,115,112,108,124,121,116,116.13
46,112,109,112,118,112,112.6,113.48
47,112,114,106,112,112,111.2,111.77
48,112,114,111,112,106,111,111.19
49,123,112,112,115,124,117.2,115.7
50,115,115,111,130,105,115.2,115.32
51,112,109,112,112,109,110.8,111.93
52,117,126,115,118,114,118,116.48
53,112,112,115,109,105,110.6,112.07
54,114,115,115,115,109,113.6,113.22
55,112,108,121,111,112,112.8,112.9
56,112,118,114,118,111,114.6,114.18
57,108,115,115,121,112,114.2,114.19
58,,,112,106,115,111,111.8
59,,,,,,,
60,,,,,,,
