RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,106,112,112,109,106,109,109
2,112,112,103,119,122,113.6,112.45
3,103,119,112,106,109,109.8,110.46
4,109,132,109,112,112,114.8,113.72
5,112,115,112,120,109,113.6,113.63
6,113,109,113,116,122,114.6,114.36
7,119,112,116,100,122,113.8,113.94
8,106,112,116,106,112,110.4,111.28
9,116,109,120,119,110,114.8,113.92
10,112,116,106,113,109,111.2,111.88
11,103,109,120,106,109,109.4,110.02
12,110,116,123,109,113,114.2,113.16
13,126,112,103,112,113,113.2,113.19
14,112,112,125,103,116,113.6,113.5
15,116,112,106,100,121,111,111.62
16,106,109,119,116,103,110.6,110.86
17,115,121,116,112,106,114,113.21
18,109,112,112,113,122,113.6,113.5
19,109,112,116,120,106,112.6,112.83
20,110,113,120,106,112,112.2,112.36
21,106,113,106,109,106,108,109.09
22,109,133,112,125,109,117.6,115.47
23,112,122,131,113,112,118,117.37
24,120,112,109,109,121,114.2,114.99
25,109,123,113,116,112,114.6,114.7
26,113,119,109,106,128,115,114.92
27,113,110,112,110,131,115.2,115.13
28,113,110,103,106,115,109.4,110.83
29,106,100,115,118,109,109.6,109.91
30,119,109,112,112,124,115.2,113.88
31,110,109,115,106,121,112.2,112.62
32,110,122,112,118,128,118,116.65
33,113,119,103,115,121,114.2,114.81
34,110,106,103,125,121,113,113.45
35,109,110,112,106,108,109,110.11
36,116,112,121,109,115,114.6,113.48
37,120,112,103,109,112,111.2,111.77
38,119,103,128,121,118,117.8,116.29
39,125,121,118,109,111,116.8,116.67
40,120,106,121,112,123,116.4,116.47
41,120,112,109,125,109,115,115.37
42,106,109,117,106,112,110,111.34
43,113,112,108,131,115,115.8,114.69
44,113,112,112,108,115,112,112.67
45,113,109,112,118,108,112,112.17
46,113,109,127,105,105,111.8,111.89
47,116,112,115,118,114,115,114.22
48,110,122,108,108,115,112.6,113.01
49,109,106,112,109,109,109,110
50,116,109,132,118,115,118,116
51,109,121,115,133,109,117.4,117.05
52,129,112,118,131,115,121,120.01
53,118,112,112,112,112,113.2,114.9
54,109,112,112,112,112,111.4,112.28
55,106,112,118,114,115,113,112.82
56,112,121,115,118,117,116.6,115.65
57,112,109,115,112,109,111.4,112.46
58,129,125,115,112,112,118.6,117.07
59,109,115,132,115,,117.75,117.58
60,103,,,,,103,106.64
