RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,112,116,109,112,109,111.6,111.6
2,R,R,106,120,112,112.67,112.4
3,109,112,112,108,109,110,110.6
4,113,117,109,109,123,114.2,113.3
5,115,115,125,129,113,119.4,117.88
6,112,141,132,R,122,126.75,124.53
7,112,112,118,120,115,115.4,117.68
8,106,103,116,126,R,112.75,113.98
9,R,113,122,R,109,114.67,114.5
10,116,106,129,112,122,117,116.37
11,112,109,109,R,106,109,110.84
12,106,115,106,106,112,109,109.46
13,115,103,119,126,R,115.75,114.18
14,109,R,112,129,125,118.75,117.61
15,106,R,110,116,119,112.75,113.96
16,109,106,103,122,113,110.6,111.44
17,109,113,113,119,113,113.4,112.91
18,109,113,109,112,112,111,111.48
19,118,110,113,116,129,117.2,115.77
20,112,113,103,R,109,109.25,110.88
21,106,112,119,106,112,111,110.97
22,112,113,116,R,112,113.25,112.68
23,112,116,106,89.4,R,105.85,107.56
24,109,106,113,125,116,113.8,112.24
25,109,112,R,109,112,110.5,110.93
26,112,106,R,122,118,114.5,113.61
27,109,R,113,112,102,109,110.15
28,119,112,113,116,118,115.6,114.24
29,106,109,116,121,109,112.2,112.71
30,116,109,106,125,118,114.8,114.28
31,112,112,118,112,102,111.2,111.97
32,109,122,116,112,115,114.8,114.09
33,118,109,109,R,109,111.25,111.96
34,112,115,109,118,112,113.2,112.89
35,112,115,109,112,109,111.4,111.77
36,R,112,123,108,112,113.75,113.26
37,109,112,120,112,115,113.6,113.51
38,114,109,103,112,112,110,110.88
39,112,112,126,109,114,114.6,113.67
40,120,112,106,134,118,118,116.92
41,126,R,116,127,112,120.25,119.42
42,112,125,110,115,112,114.8,115.95
43,118,109,109,105,108,109.8,111.34
44,112,109,112,115,121,113.8,113.18
45,112,R,122,115,115,116,115.3
46,112,112,122,118,114,115.6,115.52
47,R,115,116,112,111,113.5,114.01
48,111,108,R,117,112,112,112.5
49,124,115,106,111,115,114.2,113.78
50,109,115,112,112,109,111.4,111.99
51,109,124,109,R,126,117,115.75
52,109,R,112,134,R,118.33,117.69
53,115,112,118,115,112,114.4,115.22
54,115,112,109,115,R,112.75,113.37
55,117,112,109,109,112,111.8,112.19
56,R,127,R,108,112,115.67,114.8
57,118,127,112,120,102,115.8,115.55
58,112,R,R,R,131,121.5,120.01
59,112,112,112,112,R,112,114
60,,,,,,,
