RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,164,167,109,163,115,143.6,143.6
2,168,187,146,112,184,159.4,155.45
3,175,138,187,160,177,167.4,164.41
4,154,109,190,167,132,150.4,153.9
5,165,196,184,105,180,166,162.98
6,100,172,109,175,193,149.8,153.09
7,116,187,215,103,112,146.6,148.22
8,173,125,184,158,183,164.6,160.51
9,142,178,109,130,124,136.6,142.58
10,157,167,168,160,153,161,156.39
11,109,109,161,181,176,147.2,149.5
12,109,150,190,94.2,110,130.64,135.35
13,168,181,116,193,170,165.6,158.04
14,174,193,180,184,190,184.2,177.66
15,109,175,109,116,106,123,136.66
16,209,206,171,109,170,173,163.92
17,164,106,116,158,136,136,142.98
18,166,112,171,102,103,130.8,133.84
19,168,118,175,158,134,150.6,146.41
20,177,133,171,200,143,164.8,160.2
21,130,159,190,181,190,170,167.55
22,172,139,200,120,166,159.4,161.44
23,141,175,109,116,110,130.2,138.01
24,132,203,177,178,116,161.2,155.4
25,181,185,196,110,145,163.4,161.4
26,112,112,106,167,162,131.8,139.2
27,193,145,200,113,167,163.6,157.5
28,109,215,112,180,183,159.8,159.23
29,228,215,163,113,109,165.6,164.01
30,112,105,184,187,120,141.6,147.2
31,112,115,115,206,154,140.4,142.1
32,169,115,136,172,173,153,150.28
33,197,114,187,167,113,155.6,154.27
34,206,112,196,141,109,152.8,153.17
35,181,203,206,112,162,172.8,167.89
36,187,215,173,109,113,159.4,161.52
37,191,203,171,196,200,192.2,184.53
38,130,188,112,109,112,130.2,143.78
39,108,387,109,196,112,182.4,172.75
40,112,143,118,115,303,158.2,161.84
41,230,134,226,343,111,208.8,197.06
42,352,348,373,137,315,305,278.01
43,269,294,288,312,115,255.6,261.2
44,112,112,125,138,206,138.6,169.25
45,348,214,118,125,309,222.8,209.41
46,233,312,291,256,329,284.2,265.5
47,134,118,334,327,106,203.8,219.23
48,218,257,272,333,125,241,235.56
49,327,311,145,145,345,254.6,249.84
50,203,118,112,121,318,174.4,193.26
51,111,194,221,170,228,184.8,186.91
52,248,361,331,318,218,295.2,268.13
53,348,136,378,378,112,270.4,269.83
54,133,190,315,290,112,208,223.46
55,171,338,114,148,290,212.2,215.01
56,366,266,118,162,372,256.8,246.35
57,263,106,190,351,193,220.6,227.04
58,,,361,306,343,336.67,309.26
59,,,,,,,
60,,,,,,,
