RECORD,T1,T2,T3,T4,T5,AVG,EWMA
1,109,113,112,106,106,109.2,109.2
2,119,113,112,110,R,113.5,112.43
3,110,123,106,113,129,116.2,115.26
4,112,120,109,113,125,115.8,115.66
5,116,126,R,R,112,118,117.42
6,106,116,109,110,116,111.4,112.9
7,118,110,115,R,112,113.75,113.54
8,109,113,128,120,119,117.8,116.73
9,106,127,116,R,R,116.33,116.43
10,109,R,115,117,112,113.25,114.05
11,115,113,119,106,138,118.2,117.16
12,109,113,115,110,116,112.6,113.74
13,109,113,112,113,125,114.4,114.24
14,109,113,112,117,109,112,112.56
15,106,103,109,127,R,111.25,111.58
16,116,110,119,120,109,114.8,113.99
17,112,109,R,112,112,111.25,111.94
18,100,123,109,124,112,113.6,113.18
19,108,120,R,103,116,111.75,112.11
20,132,112,112,120,109,117,115.78
21,121,116,109,119,121,117.2,116.84
22,R,106,118,R,R,112,113.21
23,R,120,128,R,109,119,117.55
24,109,R,115,R,125,116.33,116.64
25,R,109,112,120,125,116.5,116.53
26,137,R,R,R,112,124.5,122.51
27,109,120,121,124,109,116.6,118.08
28,R,R,112,100,112,108,110.52
29,R,106,127,116,R,116.33,114.88
30,R,R,109,R,R,109,110.47
31,R,112,127,120,108,116.75,115.18
32,112,R,R,122,118,117.33,116.79
33,115,113,112,R,R,113.33,114.2
34,R,R,123,106,129,119.33,118.05
35,102,106,R,116,109,108.25,110.7
36,111,R,112,119,112,113.5,112.8
37,R,103,R,R,109,106,107.7
38,111,R,R,125,118,118,115.42
39,117,106,109,112,112,111.2,112.26
40,R,120,112,120,112,116,115.06
41,R,100,R,119,112,110.33,111.52
42,111,103,121,113,109,111.4,111.43
43,112,103,121,113,116,113,112.61
44,122,R,106,113,118,114.75,114.21
45,108,110,112,110,112,110.4,111.35
46,112,110,R,113,112,111.75,111.65
47,115,120,R,113,112,115,114.16
48,120,130,118,103,121,118.4,117.34
49,115,120,112,109,112,113.6,114.54
50,108,106,106,110,R,107.5,109.26
51,111,113,108,109,121,112.4,111.61
52,109,113,114,109,109,110.8,111
53,111,110,115,103,115,110.8,110.85
54,114,113,112,112,108,111.8,111.56
55,112,110,111,119,118,114,113.39
56,112,103,124,122,112,114.6,114.3
57,112,109,115,103,118,111.4,112.12
58,127,106,109,112,109,112.6,112.48
59,121,119,,112,111,115.75,114.93
60,,106,,106,,106,108.23
