RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA,LABEL
3,106,178,171,178,112,149,149,3,5.6,4.6,4.7,5.3,4.64,4.64,0
6,112,116,112,158,178,135.2,138.65,4,4.5,3.6,5.8,3.6,4.3,4.39,0
9,184,160,113,178,167,160.4,154.96,5.2,5.3,3.1,5.8,4.7,4.82,4.71,0
12,172,115,112,171,196,153.2,153.64,4.2,5.3,4.7,6.4,5.3,5.18,5.06,0
15,181,118,119,174,193,157,156.16,4.7,4.3,5.5,5.5,6.3,5.26,5.21,0
18,181,170,102,103,170,145.2,147.94,4.9,4.7,6.2,4.9,5.4,5.22,5.22,0
21,196,174,180,106,175,166.2,161.64,5.1,4.4,6,5.4,6.1,5.4,5.35,0
24,181,138,193,177,184,174.6,171.36,5.9,4.9,6.5,5.2,5.2,5.54,5.49,0
27,184,109,156,128,184,152.2,156.99,6.6,2.9,4.7,5.5,4.6,4.86,5.02,0
30,125,180,119,167,206,159.4,158.8,5.6,3.6,5,5.3,6,5.1,5.08,0
33,112,109,159,109,113,120.4,130,3.5,5.1,3.1,5.5,3.7,4.18,4.4,0
36,203,157,178,170,116,164.8,156.1,4.6,4.1,7,4.2,4.3,4.84,4.73,0
39,105,166,177,161,152,152.2,153.17,2.3,4.5,4.2,3.8,2.9,3.54,3.84,0
42,172,190,190,170,174,179.2,172.69,3,5.6,4.1,3.7,5.2,4.32,4.2,0
45,115,109,109,112,177,124.4,136.47,4.7,4.4,3.2,3.1,2.7,3.62,3.76,0
48,178,106,106,183,109,136.4,136.42,4,5.8,5.4,5.4,5.8,5.28,4.9,0
51,146,186,112,151,180,155,150.35,5.6,4.8,5.6,4.9,4.8,5.14,5.08,0
54,160,170,112,106,109,131.4,136.14,3.8,5.3,6.1,5,6.2,5.28,5.23,0
57,212,166,190,193,129,178,167.53,5.2,3.7,6.1,6.2,4.5,5.14,5.16,0
60,127,203,178,112,118,147.6,152.58,3.2,5.4,4.7,6.3,5.1,4.94,5,0
63,208,222,112,175,115,166.4,162.95,5,5.8,5.2,4.7,5.4,5.22,5.16,1
66,112,91.8,219,187,141,150.16,153.36,6.2,6.8,7,4.8,6,6.16,5.91,1
69,185,175,112,187,175,166.8,163.44,5.6,5.2,5.5,6,6.3,5.72,5.77,1
72,140,190,106,219,172,165.4,164.91,6.6,5.2,5.4,7.2,5.6,6,5.94,1
75,105,170,166,122,112,135,142.48,5.6,5.5,5.4,5,5.7,5.44,5.57,1
78,226,190,206,210,157,197.8,183.97,5.8,5.1,5.5,6,5.4,5.56,5.56,1
81,112,134,157,119,105,125.4,140.04,5.3,6.6,5.5,5.8,5.3,5.7,5.67,1
84,112,168,156,106,190,146.4,144.81,6.8,6.3,6.4,5.1,4.5,5.82,5.78,1
87,109,116,118,187,112,128.4,132.5,6.5,5.2,6.7,5.6,5.1,5.82,5.81,1
90,132,115,109,232,225,162.6,155.08,4.8,5.6,5.3,6.5,5.6,5.56,5.62,1
