RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),AVG_FPS
1,20201230_064626,58,1016,17.51724138,5.71E+01
2,20201230_064627,60,1000,16.66666667,6.00E+01
3,20201230_064628,59,1001,16.96610169,5.89E+01
4,20201230_064629,58,1001,17.25862069,5.79E+01
5,20201230_064630,58,1001,17.25862069,5.79E+01
6,20201230_064631,60,1000,16.66666667,6.00E+01
7,20201230_064632,58,1002,17.27586207,5.79E+01
8,20201230_064633,60,1000,16.66666667,6.00E+01
9,20201230_064634,58,1001,17.25862069,5.79E+01
10,20201230_064635,59,1000,16.94915254,5.90E+01
11,20201230_064636,60,1009,16.81666667,5.95E+01
12,20201230_064637,61,1009,16.54098361,6.05E+01
13,20201230_064638,60,1001,16.68333333,5.99E+01
14,20201230_064639,59,1000,16.94915254,5.90E+01
15,20201230_064640,60,1001,16.68333333,5.99E+01
16,20201230_064641,60,1001,16.68333333,5.99E+01
17,20201230_064642,59,1001,16.96610169,5.89E+01
18,20201230_064643,59,1000,16.94915254,5.90E+01
19,20201230_064644,60,1001,16.68333333,5.99E+01
20,20201230_064645,60,1000,16.66666667,6.00E+01
21,20201230_064646,60,1001,16.68333333,5.99E+01
22,20201230_064647,60,1001,16.68333333,5.99E+01
23,20201230_064648,59,1000,16.94915254,5.90E+01
24,20201230_064649,59,1001,16.96610169,5.89E+01
25,20201230_064650,60,1001,16.68333333,5.99E+01
26,20201230_064651,60,1000,16.66666667,6.00E+01
27,20201230_064652,59,1001,16.96610169,5.89E+01
28,20201230_064653,59,1000,16.94915254,5.90E+01
29,20201230_064654,59,1001,16.96610169,5.89E+01
30,20201230_064655,59,1001,16.96610169,5.89E+01
31,20201230_064656,59,1001,16.96610169,5.89E+01
32,20201230_064657,60,1001,16.68333333,5.99E+01
33,20201230_064658,59,1000,16.94915254,5.90E+01
34,20201230_064659,59,1001,16.96610169,5.89E+01
35,20201230_064700,59,1001,16.96610169,5.89E+01
36,20201230_064701,57,1001,17.56140351,5.69E+01
37,20201230_064702,60,1001,16.68333333,5.99E+01
38,20201230_064703,57,1000,17.54385965,5.70E+01
39,20201230_064704,57,1001,17.56140351,5.69E+01
40,20201230_064705,59,1001,16.96610169,5.89E+01
41,20201230_064706,59,1001,16.96610169,5.89E+01
42,20201230_064707,60,1000,16.66666667,6.00E+01
43,20201230_064708,59,1001,16.96610169,5.89E+01
44,20201230_064709,60,1001,16.68333333,5.99E+01
45,20201230_064710,60,1001,16.68333333,5.99E+01
46,20201230_064711,59,1001,16.96610169,5.89E+01
47,20201230_064712,59,1000,16.94915254,5.90E+01
48,20201230_064713,60,1001,16.68333333,5.99E+01
49,20201230_064714,59,1000,16.94915254,5.90E+01
50,20201230_064715,60,1001,16.68333333,5.99E+01
51,20201230_064716,59,1016,17.22033898,5.81E+01
52,20201230_064717,60,1002,16.7,5.99E+01
53,20201230_064718,60,1000,16.66666667,6.00E+01
54,20201230_064719,59,1001,16.96610169,5.89E+01
55,20201230_064720,59,1001,16.96610169,5.89E+01
56,20201230_064721,59,1000,16.94915254,5.90E+01
57,20201230_064722,59,1001,16.96610169,5.89E+01
58,20201230_064723,60,1001,16.68333333,5.99E+01
59,20201230_064724,60,1001,16.68333333,5.99E+01
60,20201230_064725,58,1000,17.24137931,5.80E+01
61,20201230_064726,59,1000,16.94915254,5.90E+01
62,20201230_064727,60,1002,16.7,5.99E+01
63,20201230_064728,58,1000,17.24137931,5.80E+01
64,20201230_064729,59,1001,16.96610169,5.89E+01
65,20201230_064730,59,1001,16.96610169,5.89E+01
66,20201230_064731,57,1001,17.56140351,5.69E+01
