RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA,LABEL
3,106,103,109,112,93,104.6,104.6,6.1,3.6,6.4,5.1,5,5.24,5.24,0
6,126,109,116,110,103,112.8,110.75,6.5,4.4,6.4,6.4,5.1,5.76,5.63,0
9,109,109,131,109,122,116,114.69,6.5,3.9,6.5,6.2,6.5,5.92,5.85,0
12,123,106,112,135,109,117,116.42,6.8,3.9,6.2,6.3,6.8,6,5.96,0
15,116,112,100,112,116,111.2,112.51,6.4,3.3,7.2,6.4,7.6,6.18,6.13,0
18,113,109,85,123,119,109.8,110.48,7.5,2.9,7,7.6,7.1,6.42,6.35,0
21,112,106,113,86.6,110,105.52,106.76,6.6,2,6.1,7,7.2,5.78,5.92,0
24,112,109,112,106,119,111.6,110.39,7.5,2,5.8,6.9,7.8,6,5.98,0
27,106,109,106,106,106,106.6,107.55,7,2,5.4,6.4,6.7,5.5,5.62,0
30,126,122,116,116,110,118,115.39,7.1,2,5.9,7,7,5.8,5.76,0
33,112,119,116,112,115,114.8,114.95,5,4.7,4.7,5.4,6.5,5.26,5.38,0
36,103,112,116,116,106,110.6,111.69,6.5,5.3,5.5,5,6.5,5.76,5.67,0
39,119,140,105,109,106,115.8,114.77,6.9,5.1,4.6,5.5,7.5,5.92,5.86,0
42,112,112,122,119,123,117.6,116.89,6.6,4.4,6.6,8,7.3,6.58,6.4,0
45,119,112,106,119,113,113.8,114.57,7.7,6.1,7,7.3,7.2,7.06,6.89,0
48,105,109,130,112,112,113.6,113.84,6.5,6.1,6.8,6.2,6.1,6.34,6.48,0
51,129,125,112,113,123,120.4,118.76,7.1,5.8,5.8,7,6.1,6.36,6.39,0
54,106,113,106,116,109,110,112.19,6.9,4,7.4,7.5,7.3,6.62,6.56,0
57,125,106,112,136,108,117.4,116.1,7.4,4.5,6.3,5.9,6.2,6.06,6.19,0
60,112,121,105,116,103,111.4,112.57,6.2,3.8,5.1,5.7,6.1,5.38,5.58,0
63,122,116,135,106,110,117.8,116.49,5.6,5.2,6.1,5.9,4.6,5.48,5.51,1
66,103,122,97,112,112,109.2,111.02,5,5.4,5,4.8,5,5.04,5.16,1
69,116,103,119,126,112,115.2,114.16,5.1,3.3,5,5.9,5,4.86,4.93,1
72,112,112,116,109,109,111.6,112.24,5,5.4,3.8,5.7,5.3,5.04,5.01,1
75,121,125,106,109,106,113.4,113.11,5.6,6.3,4,4.8,5.2,5.18,5.14,1
78,106,106,106,109,103,106,107.78,4.7,4.5,5,4.2,4.9,4.66,4.78,1
81,122,109,106,109,120,113.2,111.84,4.9,4.7,4.2,5.4,5.2,4.88,4.85,1
84,109,109,112,116,109,111,111.21,5,5.6,5.5,5.1,5.3,5.3,5.19,1
87,112,106,123,106,110,111.4,111.35,5.6,5.3,4.6,4.7,5.1,5.06,5.09,1
90,106,109,109,115,113,110.4,110.64,5.1,6.4,5,4.5,5.2,5.24,5.2,1
93,102,103,121,120,112,111.6,111.36,5.6,4.5,4.8,5.7,4.7,5.06,5.1,1
96,112,116,125,100,106,111.8,111.69,6.4,4.8,5.5,4.4,4.6,5.14,5.13,1
99,97,115,106,116,128,112.4,112.22,4.7,4.6,4.8,4.2,5.6,4.78,4.87,1
102,106,106,112,100,109,106.6,108.01,4.8,6.6,5.9,5.5,5.6,5.68,5.48,1
105,117,125,106,112,125,117,114.75,4.3,6.4,4.4,5.3,5.5,5.18,5.25,1
108,111,106,112,121,100,110,111.19,5.5,4.7,4.8,5,4.7,4.94,5.02,1
111,106,112,115,106,112,110.2,110.45,5.5,5.2,6,5.2,5.6,5.5,5.38,1
114,102,109,127,115,121,114.8,113.71,5.2,4.6,5.9,5,5.6,5.26,5.29,1
117,108,124,131,106,115,116.8,116.03,5,6.1,6.6,5.1,4.9,5.54,5.48,1
120,118,109,106,103,102,107.6,109.71,5.4,4.3,4.9,4.9,5,4.9,5.04,1
123,121,109,115,106,112,112.6,111.88,5,5.5,5.5,4.2,5.2,5.08,5.07,2
126,109,112,118,112,109,112,111.97,5.5,4.9,4.8,3.9,6.5,5.12,5.11,2
129,105,118,112,117,109,112.2,112.14,6.2,5.9,5.9,5.4,6.4,5.96,5.75,2
132,112,118,112,112,109,112.6,112.49,6.3,4.9,5.9,6.1,5.4,5.72,5.73,2
135,112,112,111,115,112,112.4,112.42,6.1,4.5,5.2,4.8,6.6,5.44,5.51,2
138,112,112,124,120,115,116.6,115.56,6.6,4.7,5,4.9,5.3,5.3,5.35,2
141,125,127,118,115,118,120.6,119.34,6,3.8,3.8,6.1,6.4,5.22,5.25,2
144,112,121,112,111,112,113.6,115.03,5.5,2.8,3.9,5.1,6.2,4.7,4.84,2
147,109,109,115,115,115,112.6,113.21,6.1,3,2.9,5.7,6.3,4.8,4.81,2
150,112,111,115,112,118,113.6,113.5,5.4,2.2,6.1,5.6,5.9,5.04,4.98,2
153,118,115,115,118,115,116.2,115.53,6.2,2.2,5.4,5.9,5.4,5.02,5.01,2
156,115,112,115,109,128,115.8,115.73,6.3,2.2,5.6,5.7,6.2,5.2,5.15,2
159,108,115,137,106,108,114.8,115.03,5.7,2.2,4.9,5,5.7,4.7,4.81,2
162,127,125,112,121,112,119.4,118.31,5.9,2.2,4,5.7,6.2,4.8,4.8,2
165,115,112,109,115,128,115.8,116.43,5.7,2.2,3.8,4.4,5.4,4.3,4.43,2
168,124,118,108,112,115,115.4,115.66,6.3,2.2,5.5,5.5,6.1,5.12,4.95,2
171,111,115,105,118,109,111.6,112.61,5,2.2,5.7,5.1,6.4,4.88,4.9,2
174,117,109,109,118,112,113,112.9,6,2.2,5,4.6,6.4,4.84,4.85,2
