,Noise-Group-Wikipedia,,,,,,,,,,,,,
,MAL-COMP … CPU,,,,,,,MAL-COMP … RAM,,,,,,
,T1,T2,T3,T4,T5,AVG,CPU-EWMA,T1,T2,T3,T4,T5,AVG,MEM-EWMA
1,106,103,109,112,93,104.6,104.6,6.1,3.6,6.4,5.1,5,5.24,5.24
2,126,109,116,110,103,112.8,110.75,6.5,4.4,6.4,6.4,5.1,5.76,5.63
3,109,109,131,109,122,116,114.69,6.5,3.9,6.5,6.2,6.5,5.92,5.85
4,123,106,112,135,109,117,116.42,6.8,3.9,6.2,6.3,6.8,6,5.96
5,116,112,100,112,116,111.2,112.51,6.4,3.3,7.2,6.4,7.6,6.18,6.13
6,113,109,85,123,119,109.8,110.48,7.5,2.9,7,7.6,7.1,6.42,6.35
7,112,106,113,86.6,110,105.52,106.76,6.6,2,6.1,7,7.2,5.78,5.92
8,112,109,112,106,119,111.6,110.39,7.5,2,5.8,6.9,7.8,6,5.98
9,106,109,106,106,106,106.6,107.55,7,2,5.4,6.4,6.7,5.5,5.62
10,126,122,116,116,110,118,115.39,7.1,2,5.9,7,7,5.8,5.76
11,112,119,116,112,115,114.8,114.95,5,4.7,4.7,5.4,6.5,5.26,5.38
12,103,112,116,116,106,110.6,111.69,6.5,5.3,5.5,5,6.5,5.76,5.67
13,119,140,105,109,106,115.8,114.77,6.9,5.1,4.6,5.5,7.5,5.92,5.86
14,112,112,122,119,123,117.6,116.89,6.6,4.4,6.6,8,7.3,6.58,6.4
15,119,112,106,119,113,113.8,114.57,7.7,6.1,7,7.3,7.2,7.06,6.89
16,105,109,130,112,112,113.6,113.84,6.5,6.1,6.8,6.2,6.1,6.34,6.48
17,129,125,112,113,123,120.4,118.76,7.1,5.8,5.8,7,6.1,6.36,6.39
18,106,113,106,116,109,110,112.19,6.9,4,7.4,7.5,7.3,6.62,6.56
19,125,106,112,136,108,117.4,116.1,7.4,4.5,6.3,5.9,6.2,6.06,6.19
20,112,121,105,116,103,111.4,112.57,6.2,3.8,5.1,5.7,6.1,5.38,5.58
