Timestamp,Result Title,Result Confidence
20201230_035013,bird group.slgns.mp4 00:00 03:00
20201230_035256,Rd Grennan Brace R STOP eRMGE
20201230_035257,Rd Grennan Brace R STOP BRIGE T -
20201230_035257,Rd Grennan Brace R STOP BRMCE T
20201230_035258,Rd Grennann Brace R STOP BRICE T
20201230_035259,TRANQUILITY BLVD BLVD
20201230_035300,BLVD TRANQUILITY BLVD T -
20201230_035300,BLVD TRANQUILITY BLVD T
20201230_035301,BLVD TRANQUILITY BLVD T
20201230_035302,BLVD TRANQUILITY BLVD T
20201230_035303,BLVD TRANQUILITY BLVD T
20201230_035303,TRANQUILITY BLVD BLVD
20201230_035304,500 High st HUnterau T
20201230_035305,HiahSt T
20201230_035305,500 Hiah st THUnterae T 1
20201230_035306,500 High St S 20 Hunter T -
20201230_035307,500 HiahSt Hunter
20201230_035308,500 Hiah st 2000 nter T
20201230_035308,HiahSt HUnter 1
20201230_035309,ONLY NO TRUMP ANYTIME T
20201230_035310,ONLY NO TRUMP ANYTIME T
20201230_035311,ONLY NO TRUMP ANYTIME T -
20201230_035311,ONLY NO TRUMP ANYTIME -
20201230_035312,ONLY NO TRUMP ANYTIME
20201230_035313,ONLY NO TRUMP ANYTIME T
