RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,96.7,16.1,83.3,93.9,87,75.4,75.4,13.4,12.3,13.5,13.1,13.5,13.16,13.16
2,90.3,60,83.3,58,83.8,75.08,75.08,13.2,12.3,13.7,12.9,13.4,13.1,13.1
3,70.9,73.3,44.1,81.2,93.5,72.6,72.6,13,12.3,13.7,13.3,13.8,13.22,13.22
4,71.8,50,90,50,90.3,70.42,70.42,13.4,12.4,13.7,13.1,13.8,13.28,13.28
5,62.5,66.6,93.3,73.3,119,82.94,82.94,13.2,12.1,13.4,12.9,13.7,13.06,13.06
6,90.3,56.2,90.3,93.3,87,83.42,83.42,13.6,11.4,13.7,13.5,13.5,13.14,13.14
7,77.4,73.3,76.6,90,103,84.06,84.06,13.7,11.7,13.1,13.1,13.4,13,13
8,54.8,56.6,83.3,73.3,90.3,71.66,71.66,13.6,10.3,13.4,13,13.2,12.7,12.7
9,93.5,93.3,96.5,53.3,78.1,82.94,82.94,14.1,9.9,13.2,12.9,13,12.62,12.62
10,51.6,66.6,93.3,50,74.1,67.12,67.12,14,9.4,13.3,13.1,12.8,12.52,12.52
11,45.1,33.3,64.5,36.6,83.8,52.66,52.66,14,8.3,13.7,13.1,13,12.42,12.42
12,75,60.6,87,90,90,80.52,80.52,14.1,8.8,13.5,13.8,14.1,12.86,12.86
13,62.5,48.3,90.3,83.3,76.6,72.2,72.2,13,8.8,13.8,13.6,14.5,12.74,12.74
14,61.2,63.3,86.6,46.6,83.3,68.2,68.2,13.1,8.7,13.5,13.2,14.3,12.56,12.56
15,51.6,53.1,83.3,51.5,83.8,64.66,64.66,13,9.2,13.3,13.1,14.7,12.66,12.66
16,78.1,46.6,93.3,53.8,86.6,71.68,71.68,12.9,8.9,13.5,13.3,14.4,12.6,12.6
17,67.7,93.7,86.6,70.9,83.8,80.54,80.54,13.3,9.2,14.5,12.8,13.5,12.66,12.66
18,93.7,90,73.3,75.7,86.6,83.86,83.86,13.3,9.2,13.6,13.2,13.4,12.54,12.54
19,74.1,90,79.3,83.3,83.3,82,82,13.7,9.3,13.5,12.8,13.8,12.62,12.62
20,71.8,87,96.6,54.8,90,80.04,80.04,13.6,9.6,13.5,12.1,13.8,12.52,12.52
21,74.1,58,76.6,43.3,65.6,63.52,63.52,13.5,9.5,13.6,12.4,13.7,12.54,12.54
22,164,90.3,130,154,160,139.66,139.66,13.9,8.3,13.7,12.1,14.3,12.46,12.46
23,157,151,156,173,170,161.4,161.4,13.9,8.7,13.9,12.8,14.1,12.68,12.68
24,162,154,163,148,158,157,157,14.2,8.9,14,11.3,14.6,12.6,12.6
25,159,156,156,135,146,150.4,150.4,14.2,9,14,10.6,14.6,12.48,12.48
26,158,148,143,174,151,154.8,154.8,14.2,8.8,14,11.1,14.4,12.5,12.5
27,164,150,155,158,153,156,156,14.2,8.8,13.9,11.1,14.3,12.46,12.46
28,164,158,150,164,143,155.8,155.8,14.7,8.5,14.9,11,14.2,12.66,12.66
29,158,168,162,150,148,157.2,157.2,14.7,8.9,14.8,11.4,15.3,13.02,13.02
30,160,156,148,167,153,156.8,156.8,14.8,9,14.7,11.3,15.4,13.04,13.04
31,154,159,165,161,160,159.8,159.8,14.8,9,15.2,11.3,15.3,13.12,13.12
32,169,156,153,153,154,157,157,14.8,8.9,15.1,11.8,15.2,13.16,13.16
33,180,159,153,151,156,159.8,159.8,15.1,9.5,15,11.8,15.6,13.4,13.4
34,161,159,160,148,166,158.8,158.8,15.2,9.5,15.6,11.6,15.6,13.5,13.5
35,170,165,145,156,160,159.2,159.2,15.1,9.5,15.6,12.2,16.1,13.7,13.7
36,168,171,153,187,150,165.8,165.8,15.2,9.5,15.5,12,15.9,13.62,13.62
37,163,181,146,159,146,159,159,15.7,10,15.9,12,15.7,13.86,13.86
38,166,163,141,168,161,159.8,159.8,15.7,10,15.7,12.4,16.2,14,14
39,167,163,166,125,154,155,155,15.5,10.1,16.2,12.1,13.3,13.44,13.44
40,163,154,141,160,143,152.2,152.2,15.5,10,16,12,13.2,13.34,13.34
41,162,181,151,155,150,159.8,159.8,16,10.5,16.3,12,13.7,13.7,13.7
42,93.7,172,151,151,76.6,128.86,128.86,15.7,10.5,16.4,12.9,13.6,13.82,13.82
43,96.8,87.8,86.6,89.6,87,89.56,89.56,14.1,10,15.1,11.9,13.4,12.9,12.9
44,87.5,91.1,96.5,70.9,80,85.2,85.2,12.2,7.5,13.8,9.9,13.9,11.46,11.46
45,103,90.9,86.2,93.3,83.3,91.34,91.34,12.2,7.3,13.5,9.9,13.7,11.32,11.32
46,64.5,77.1,80,71.8,80.6,74.8,74.8,12.1,8.4,13.3,9.8,14.3,11.58,11.58
47,84.3,96.9,80,78.7,76.6,83.3,83.3,12.1,8.3,13.8,9.9,14.1,11.64,11.64
48,100,84.8,90,93.7,90,91.7,91.7,12.1,8.2,13.6,10.2,14.2,11.66,11.66
49,87.5,93.9,58.6,103,83.3,85.26,85.26,12.1,8.5,14.2,10.3,14.6,11.94,11.94
50,90.6,84.8,89.6,90.9,83.8,87.94,87.94,13.2,8.3,14,10,14.4,11.98,11.98
51,78.1,90.9,86.2,93.9,83.8,86.58,86.58,13.2,8.7,13.8,10.7,15,12.28,12.28
52,87.5,93.9,86.6,96.9,86.6,90.3,90.3,13.1,8.5,14.4,10.5,13.6,12.02,12.02
53,81.2,96.9,90,91.1,74.1,86.66,86.66,12.4,9.1,14.2,11.2,13.2,12.02,12.02
54,93.7,90.9,89.6,87.8,86.6,89.72,89.72,12.2,7.9,14.5,10.9,13.6,11.82,11.82
55,93.7,90.9,80,87.8,74.1,85.3,85.3,12.3,7.8,13.9,10.6,13.6,11.64,11.64
56,93.7,93.9,90,93.9,73.3,88.96,88.96,12.4,8.1,13.6,9.7,13.6,11.48,11.48
57,72.7,103,74.1,87.8,83.8,84.28,84.28,12.4,7.9,13.4,9.5,13.9,11.42,11.42
58,82.3,84.8,83.3,90.9,90,86.26,86.26,12.7,7.7,13.4,9.6,13.8,11.44,11.44
59,,93.7,,96.9,67.7,86.1,86.1,,8,,9.9,13.9,10.6,10.6
