RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,96.9,74.1,78.7,62.5,90.6,80.56,80.56,13.2,12.8,9.2,8.6,13.2,11.4,11.4
2,93.7,93.5,93.5,67.7,109,91.48,91.48,13,12.6,9.2,8.1,13,11.18,11.18
3,87.5,58,106,70,119,88.1,88.1,13.2,12.6,9.2,7.3,13.6,11.18,11.18
4,100,96.8,73.3,64.5,90.6,85.04,85.04,13,12.4,9.4,6.8,13.4,11,11
5,106,93.7,100,61.2,93.3,90.84,90.84,13.2,13,9.8,6.1,13.7,11.16,11.16
6,100,61.2,80.6,58,119,83.76,83.76,13.1,12.2,9.8,6.5,13.4,11,11
7,106,87,78.1,87.5,90.6,89.84,89.84,13.4,12.5,9.9,6.3,13,11.02,11.02
8,93.9,67.7,87.5,48.4,90.3,77.56,77.56,13.2,12.3,10,5.7,12.8,10.8,10.8
9,84.8,59.3,87.5,57.1,83.3,74.4,74.4,13.8,13.3,10,5.5,12.6,11.04,11.04
10,84.3,54.8,61.2,54.8,93.5,69.72,69.72,13.6,12.7,10.4,5.6,13.5,11.16,11.16
11,93.9,59.3,84.3,77.4,83.8,79.74,79.74,13.4,12.5,9.6,5.8,13.4,10.94,10.94
12,103,67.7,87.5,58,83.3,79.9,79.9,13.2,13.1,9.7,5.9,13.7,11.12,11.12
13,93.9,100,84.3,64.5,100,88.54,88.54,13.5,12.8,9.4,5.9,13.4,11,11
14,88.2,84.3,84.3,58,90.3,81.02,81.02,14.4,12.8,9.4,5.6,14.1,11.26,11.26
15,90.9,58,96.8,87,51.6,76.86,76.86,14.1,13,9.9,6.7,13.9,11.52,11.52
16,90.9,93.7,87.5,90.3,76.6,87.8,87.8,13.7,13,9.9,6.7,14.6,11.58,11.58
17,73.5,62.5,87.5,67.7,75.7,73.38,73.38,12.6,12.3,10,6.2,14.3,11.08,11.08
