RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,70.5,93.5,96.6,74.1,68.7,80.68,80.68,8.7,13.6,13.2,8.4,8.6,10.5,10.5
2,60,103,60,93.3,106,84.46,84.46,8.3,13.4,13.1,7.6,8.5,10.18,10.18
3,46.8,80,86.6,103,54.8,74.24,74.24,7.1,13.6,13.5,7.8,8.8,10.16,10.16
4,61.7,83.3,93.3,51.6,59.3,69.84,69.84,6.9,13.7,12.9,7.8,8.7,10,10
5,53.3,80,86.6,62.5,54.8,67.44,67.44,6.4,13.5,13.2,7.5,9,9.92,9.92
6,65.6,75.8,93.3,73.3,93.7,80.34,80.34,6.9,13.3,12.9,7.2,8.9,9.84,9.84
7,70,90,86.6,81.8,54.8,76.64,76.64,6.1,14.4,13.3,7.9,9.3,10.2,10.2
8,61.2,86.6,93.3,87,87,83.02,83.02,5.4,14.2,13.1,7.8,8.2,9.74,9.74
9,83.3,86.6,89.6,51.6,70,76.22,76.22,5.7,14,13.3,8,8.7,9.94,9.94
10,46.8,103,82.7,50,54.8,67.46,67.46,5.5,14.6,13.5,7.8,7.9,9.86,9.86
11,59.4,93.3,96.5,54.8,54.8,71.76,71.76,6.4,13.1,13.3,8.4,8.3,9.9,9.9
12,90,93.3,86.2,69.6,62.5,80.32,80.32,6.4,13.1,13.6,8.1,8,9.84,9.84
13,86.6,93.1,60,54.5,74.1,73.66,73.66,5.1,12.9,13.3,8.6,9.3,9.84,9.84
14,60,60,79.3,57.5,80.6,67.48,67.48,5.7,13.1,13.6,8.4,8.8,9.92,9.92
15,61.2,80,89.6,59.3,77.4,73.5,73.5,5.5,12.8,13.4,7.6,9.4,9.74,9.74
16,77.4,87,86.6,96.7,51.6,79.86,79.86,5.4,14.1,13.9,7.3,9,9.94,9.94
17,83.3,90,83.3,61.2,90.6,81.68,81.68,6.1,13.9,13.5,7.1,9.5,10.02,10.02
