RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,80,78.1,12.9,87,52.9,62.18,62.18,9,12.2,12.8,13,9.3,11.26,11.26
2,50,64.5,80,109,67.7,74.24,74.24,8.8,11.9,12.8,12.8,8.6,10.98,10.98
3,61.2,60,51.5,93.7,60,65.28,65.28,8.3,11.8,12.7,13.1,8.1,10.8,10.8
4,56.2,56.6,67.7,62.5,63.3,61.26,61.26,7.6,11.4,12.4,12.9,7.6,10.38,10.38
5,64.5,53.3,53.3,83.8,48.4,60.66,60.66,6.9,11.7,11.2,13,6.5,9.86,9.86
6,93.5,61.2,50,90,70,72.94,72.94,6,10.4,9.7,12.4,5.7,8.84,8.84
7,76.6,80.6,63.3,103,73.3,79.36,79.36,5.7,10.2,9.3,13.2,5.8,8.84,8.84
8,70,86.6,76.6,75,70,75.64,75.64,5.2,10.2,8.7,13,5.2,8.46,8.46
9,83.8,60,76.6,87,70,75.48,75.48,5,9.6,9.5,12.7,5.1,8.38,8.38
10,56.6,53.3,76.6,80.6,40,61.42,61.42,5.4,10.3,9.5,12.6,5.4,8.64,8.64
11,45.1,109,76.6,93.7,43.3,73.54,73.54,5.6,10.3,9.2,12.8,5.2,8.62,8.62
12,70.2,54.8,54.8,77.4,64.5,64.34,64.34,5.8,9.5,9.2,14.1,6,8.92,8.92
13,60,90.3,56.6,106,83.3,79.24,79.24,5.5,9.5,9,13.8,5.8,8.72,8.72
14,54.8,96.7,54.8,93.5,45.1,68.98,68.98,6.4,9.3,9.2,14.4,6.3,9.12,9.12
15,60,51.6,48.3,90.3,56.2,61.28,61.28,6,9.7,9.1,14.1,5.9,8.96,8.96
16,61.2,80.6,61.2,74.1,66.6,68.74,68.74,6.1,9.6,8.8,14.7,6.4,9.12,9.12
17,106,53.3,63.3,83.8,83.8,78.04,78.04,6.4,9.5,9.4,14.2,6.3,9.16,9.16
18,83.3,83.8,75,83.8,66.6,78.5,78.5,6,9.5,8.9,13,6.4,8.76,8.76
19,56.6,87.5,93.3,70.9,61.2,73.9,73.9,5.8,9.6,8,13.6,5.6,8.52,8.52
20,56.6,51.6,53.3,87,53.3,60.36,60.36,5.5,10,8.4,13.4,5.2,8.5,8.5
21,45.1,40.6,51.6,109,39.3,57.12,57.12,4.8,10,8.5,13.9,5.6,8.56,8.56
22,135,48.3,46.8,161,131,104.42,104.42,4.6,10,8.3,14.1,5.5,8.5,8.5
23,147,144,153,154,151,149.8,149.8,5.7,10.4,8.9,14.1,5.9,9,9
24,159,143,145,156,151,150.8,150.8,5.7,10.6,8.9,14.3,6,9.1,9.1
25,158,151,151,156,141,151.4,151.4,5.8,10.6,9.3,14.4,6,9.22,9.22
26,156,162,170,153,154,159,159,5.5,10.5,9.3,14.5,5.8,9.12,9.12
27,151,161,158,163,159,158.4,158.4,5.9,11,9.4,14.6,5.9,9.36,9.36
28,153,144,154,164,165,156,156,5.7,11,9.5,14.8,5.9,9.38,9.38
29,170,164,168,156,167,165,165,5.7,11.4,9.8,14.9,6,9.56,9.56
30,167,177,168,167,158,167.4,167.4,6.2,11.4,9.9,14.9,6.6,9.8,9.8
31,171,167,154,161,171,164.8,164.8,6.2,11.3,10,15.1,6.6,9.84,9.84
32,168,164,161,153,165,162.2,162.2,6.2,11.7,10,15.1,6.7,9.94,9.94
33,165,170,161,158,154,161.6,161.6,6.6,11.6,9.9,15.2,7.1,10.08,10.08
34,164,165,162,160,164,163,163,6.7,12.1,10.3,15.3,7.1,10.3,10.3
35,175,169,156,156,175,166.2,166.2,6.7,12,10.2,15.4,7.1,10.28,10.28
36,178,187,168,161,178,174.4,174.4,6.8,12.3,10.2,15.7,7.2,10.44,10.44
37,175,156,166,154,157,161.6,161.6,7.1,12.3,10.1,15.8,7.7,10.6,10.6
38,165,171,165,156,175,166.4,166.4,7.1,12.2,10.1,15.9,7.8,10.62,10.62
39,166,184,171,170,181,174.4,174.4,7.5,12.7,10,16,7.8,10.8,10.8
40,178,165,163,159,172,167.4,167.4,7.5,12.6,10,16.2,7.8,10.82,10.82
41,184,171,175,158,166,170.8,170.8,6.4,13,9.9,16.2,8.2,10.74,10.74
42,172,175,175,61.2,96.9,136.02,136.02,6.5,12.9,11.6,12.9,8.3,10.44,10.44
43,91.1,78.1,90.9,87,103,90.02,90.02,4.8,11.7,9.4,12.8,5.9,8.92,8.92
44,87.8,87.8,90.9,90.3,81.8,87.72,87.72,4.6,9.8,8.5,13.2,5.5,8.32,8.32
45,82.3,93.9,100,90.3,87.8,90.86,90.86,5,9.8,8.5,13,5.5,8.36,8.36
46,96.9,96.9,87.8,80.6,88.2,90.08,90.08,5,9.3,8.7,13.6,5.5,8.42,8.42
47,84.8,81.8,93.9,93.5,100,90.8,90.8,4.8,9.3,8.5,13.4,5.8,8.36,8.36
48,87.8,84.3,90.9,93.5,87.8,88.86,88.86,4.9,9.6,8.3,14,5.9,8.54,8.54
49,81.8,90.9,115,90.3,103,96.2,96.2,5.8,9.7,8.7,13.7,5.9,8.76,8.76
50,93.9,93.9,90.9,87,88.2,90.78,90.78,5.6,10,9.3,13.5,6.3,8.94,8.94
51,96.9,81.8,93.9,67.7,87.8,85.62,85.62,5.8,10,9.1,14.1,6.6,9.12,9.12
52,85.2,61.3,90.9,90.3,87.8,83.1,83.1,6,9.7,9.2,13.8,6.6,9.06,9.06
53,93.9,90.9,93.9,83.8,93.9,91.28,91.28,4.9,9.8,9.5,13.1,6.6,8.78,8.78
54,88.2,69.6,87.8,80.6,93.9,84.02,84.02,5.2,9.5,8.2,12.9,6.3,8.42,8.42
55,100,84.8,87.8,87,84.8,88.88,88.88,4.8,10.1,8.2,13.4,5.3,8.36,8.36
56,100,106,91.1,93.5,84.8,95.08,95.08,5,9.9,8.8,13.2,5.6,8.5,8.5
57,96.9,93.9,90.9,83.8,100,93.1,93.1,4.8,8.7,8.6,13.8,5.5,8.28,8.28
