RECORD,Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS,AVG_FPS
1,20201230_083627,54,1005,18.61111111,5.37E-05,5.37E+01
2.001,20201230_083628,60,1001,16.68333333,5.99E-05,5.99E+01
3.005,20201230_083629,59,1004,17.01694915,5.88E-05,5.88E+01
4.02,20201230_083630,60,1015,16.91666667,5.91E-05,5.91E+01
5.021,20201230_083631,59,1001,16.96610169,5.89E-05,5.89E+01
6.021,20201230_083632,59,1000,16.94915254,5.90E-05,5.90E+01
7.022,20201230_083633,59,1001,16.96610169,5.89E-05,5.89E+01
8.023,20201230_083634,59,1001,16.96610169,5.89E-05,5.89E+01
9.024,20201230_083635,59,1001,16.96610169,5.89E-05,5.89E+01
10.024,20201230_083636,60,1000,16.66666667,6.00E-05,6.00E+01
11.025,20201230_083637,59,1001,16.96610169,5.89E-05,5.89E+01
12.026,20201230_083638,60,1001,16.68333333,5.99E-05,5.99E+01
13.026,20201230_083639,58,1000,17.24137931,5.80E-05,5.80E+01
14.026,20201230_083640,59,1000,16.94915254,5.90E-05,5.90E+01
15.028,20201230_083641,60,1002,16.7,5.99E-05,5.99E+01
16.028,20201230_083642,60,1000,16.66666667,6.00E-05,6.00E+01
17.028,20201230_083643,60,1000,16.66666667,6.00E-05,6.00E+01
18.029,20201230_083644,60,1001,16.68333333,5.99E-05,5.99E+01
19.03,20201230_083645,60,1001,16.68333333,5.99E-05,5.99E+01
20.03,20201230_083646,60,1000,16.66666667,6.00E-05,6.00E+01
21.031,20201230_083647,60,1001,16.68333333,5.99E-05,5.99E+01
22.039,20201230_083648,60,1008,16.8,5.95E-05,5.95E+01
23.049,20201230_083649,61,1010,16.55737705,6.04E-05,6.04E+01
24.049,20201230_083650,60,1000,16.66666667,6.00E-05,6.00E+01
25.05,20201230_083651,59,1001,16.96610169,5.89E-05,5.89E+01
26.051,20201230_083652,60,1001,16.68333333,5.99E-05,5.99E+01
27.051,20201230_083653,59,1000,16.94915254,5.90E-05,5.90E+01
28.052,20201230_083654,60,1001,16.68333333,5.99E-05,5.99E+01
29.053,20201230_083655,60,1001,16.68333333,5.99E-05,5.99E+01
30.053,20201230_083656,60,1000,16.66666667,6.00E-05,6.00E+01
31.053,20201230_083657,60,1000,16.66666667,6.00E-05,6.00E+01
32.054,20201230_083658,60,1001,16.68333333,5.99E-05,5.99E+01
33.055,20201230_083659,60,1001,16.68333333,5.99E-05,5.99E+01
34.056,20201230_083700,59,1001,16.96610169,5.89E-05,5.89E+01
35.056,20201230_083701,60,1000,16.66666667,6.00E-05,6.00E+01
36.057,20201230_083702,58,1001,17.25862069,5.79E-05,5.79E+01
37.07,20201230_083703,60,1013,16.88333333,5.92E-05,5.92E+01
38.076,20201230_083704,61,1006,16.49180328,6.06E-05,6.06E+01
39.076,20201230_083705,59,1000,16.94915254,5.90E-05,5.90E+01
40.077,20201230_083706,60,1001,16.68333333,5.99E-05,5.99E+01
41.077,20201230_083707,60,1000,16.66666667,6.00E-05,6.00E+01
42.078,20201230_083708,59,1001,16.96610169,5.89E-05,5.89E+01
43.079,20201230_083709,60,1001,16.68333333,5.99E-05,5.99E+01
44.085,20201230_083710,59,1006,17.05084746,5.86E-05,5.86E+01
45.097,20201230_083711,61,1012,16.59016393,6.03E-05,6.03E+01
46.097,20201230_083712,59,1000,16.94915254,5.90E-05,5.90E+01
