RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,91.4,50,114,30.5,47,66.58,66.58,6.3,5.7,6.3,5.6,6.1,6,6
2,152,76.3,102,32.3,47,81.92,81.92,6.3,5.8,6.3,5.7,6.1,6.04,6.04
3,88.2,108,105,40,47.2,77.68,77.68,6.5,5.9,6.5,5.7,6.3,6.18,6.18
4,44.1,130,42.8,105,42.8,72.94,72.94,7,5.9,6.7,5.7,6.6,6.38,6.38
5,108,108,48.4,116,52.9,86.66,86.66,7.1,6.3,6.9,5.8,6.6,6.54,6.54
6,48.4,102,47,124,47,73.68,73.68,7.3,5.5,6.9,5.8,6.4,6.38,6.38
7,50,105,50,88.5,41.1,66.92,66.92,7.4,5.8,7.1,6.2,6.5,6.6,6.6
8,38.2,111,108,36.1,44.1,67.48,67.48,7.4,5.8,7.2,6,6.6,6.6,6.6
9,50,32.4,100,38.2,47,53.52,53.52,7.4,6,7.3,5.8,6.6,6.62,6.62
10,50,50,45.4,48.7,55.8,49.98,49.98,7.6,6.3,5.9,5.5,6.7,6.4,6.4
11,47,48.5,52.9,58.8,37.1,48.86,48.86,7.6,5.6,6,4.6,6.6,6.08,6.08
12,50,32.3,57.5,32.4,50,44.44,44.44,7.7,5.7,6.2,5.1,6.9,6.32,6.32
13,52.9,28.5,47,30,47,41.08,41.08,8.1,6,6.3,5.2,6.8,6.48,6.48
14,52.9,47,47,28.5,51.4,45.36,45.36,8.2,6.3,6.4,5.5,7,6.68,6.68
15,38.8,55.8,47,38.4,44.1,44.82,44.82,8.4,6.4,6.6,5.6,6.9,6.78,6.78
16,50,58.8,55.8,41.1,41.1,49.36,49.36,8.5,6.6,6.7,4.6,7.1,6.7,6.7
17,50,68.5,41.1,31.4,36.1,45.42,45.42,8.5,6.7,6.8,4.9,7.1,6.8,6.8
18,41.1,41.1,54.5,36.1,47,43.96,43.96,8.7,6.7,7,5,8.2,7.12,7.12
19,50,44.1,47,129,48.5,63.72,63.72,8.7,6.8,6.9,5,8.2,7.12,7.12
20,54.5,164,52.9,126,103,100.08,100.08,9,6.9,7.2,5,8.2,7.26,7.26
21,48.4,138,111,52.9,47,79.46,79.46,9.3,5.7,7.2,5,8.3,7.1,7.1
22,54.5,137,112,50,111,92.9,92.9,9.3,5.7,7.2,5,8.4,7.12,7.12
23,44.1,117,50,38.2,126,75.06,75.06,9.3,6.3,7.5,5.6,8.6,7.46,7.46
24,188,108,50,61.7,41.1,89.76,89.76,9.4,6.5,7.6,5.7,8.5,7.54,7.54
25,105,120,52.9,63.6,57.5,79.8,79.8,6.3,6.4,7.6,5.6,8.8,6.94,6.94
26,117,108,54.5,47.2,52.9,75.92,75.92,6.4,6.6,7.8,5.9,8.7,7.08,7.08
27,114,100,51.5,54.2,50,73.94,73.94,6.6,6.4,8,6.1,9,7.22,7.22
28,123,147,47,55.5,52.9,85.08,85.08,6.8,6.6,8.2,6,9.1,7.34,7.34
29,41.1,83.7,63.6,54.2,50,58.52,58.52,7.1,6.8,8.3,6.4,9.4,7.6,7.6
30,55.8,89.4,63.6,42.8,47,59.72,59.72,7.1,6.9,8.5,6.4,9.5,7.68,7.68
31,115,45.9,50,63.6,57.5,66.4,66.4,7.1,7.1,8.6,6.7,6.4,7.18,7.18
32,85.2,42.8,47,50,52.9,55.58,55.58,6.6,7.2,8.6,6.7,5.9,7,7
33,55.8,51.5,51.5,58.8,41.1,51.74,51.74,6.3,7.1,8.9,4.4,6,6.54,6.54
34,55.8,47,44.1,47,58.8,50.54,50.54,6.4,7.5,9,4.4,6,6.66,6.66
35,58.8,64.7,47,52.9,45.7,53.82,53.82,6.3,7.2,9.1,4.4,6,6.6,6.6
36,58.8,47,55.8,44.1,60.6,53.26,53.26,6.6,7.2,9.2,4.7,6.4,6.82,6.82
37,57.5,55.8,44.1,52.9,47,51.46,51.46,6.6,7.8,9.3,5,6.5,7.04,7.04
38,67.6,64.7,44.1,52.9,55.8,57.02,57.02,6.7,7.7,9.3,5.3,6.6,7.12,7.12
39,88.2,44.1,38.2,50,52.9,54.68,54.68,6.7,5.4,9.5,5.6,7,6.84,6.84
40,94.1,73.5,48.4,61.7,61.7,67.88,67.88,6.4,5.8,7.1,5.5,6.9,6.34,6.34
41,173,61.7,73.5,63.8,67.6,87.92,87.92,6.4,5.9,6,5.2,6.1,5.92,5.92
42,75.7,69.6,67.6,52.9,69.6,67.08,67.08,6.6,6.2,6.2,5,6.7,6.14,6.14
43,61.7,64.7,55.8,58.8,57.5,59.7,59.7,6.7,5.9,6,4.7,6.1,5.88,5.88
44,61.7,51.5,60.6,50,58.8,56.52,56.52,6.9,5.6,5.9,4.9,6.1,5.88,5.88
45,69.6,70.5,54.5,55.8,61.7,62.42,62.42,6.7,5.9,5.8,4.6,5.9,5.78,5.78
46,48.4,61.7,54.5,48.4,47,52,52,6.7,5.7,6,4.8,6.1,5.86,5.86
47,75.7,47,52.9,64.7,55.8,59.22,59.22,6.9,5.5,5.7,4.5,5.9,5.7,5.7
48,72.7,58.8,61.7,67.6,61.7,64.5,64.5,6.9,5.4,6,4.3,5.8,5.68,5.68
49,50,57.5,64.7,58.8,52.9,56.78,56.78,7,5.2,5.9,4.5,6.3,5.78,5.78
50,55.8,64.7,50,58.8,52.9,56.44,56.44,7.2,5.6,5.4,4.6,6.2,5.8,5.8
51,47,55.8,50,51.5,58.8,52.62,52.62,7,5.3,5.8,4.2,6.1,5.68,5.68
52,82.3,58.8,61.7,52.9,58.8,62.9,62.9,6.8,5.4,5.4,4.6,6.9,5.82,5.82
53,55.8,60.6,58.8,58.8,67.6,60.32,60.32,6.8,5.2,5.9,4.4,6.8,5.82,5.82
54,78.7,52.9,64.7,58.8,55.8,62.18,62.18,6.9,5,6.7,4,6.6,5.84,5.84
55,91.1,57.5,57.5,63.6,73.5,68.64,68.64,6.8,5.8,6.5,4.2,6.5,5.96,5.96
56,70.5,50,82.3,45.4,61.7,61.98,61.98,6.8,5.6,6.8,4.2,6.3,5.94,5.94
57,66.6,54.5,57.5,64.7,52.9,59.24,59.24,6.5,5.4,6.4,4,6.3,5.72,5.72
58,,48.4,,,,48.4,48.4,,5.4,,,,5.4,5.4
