RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,32.4,125,145,48.5,37.1,77.6,77.6,5.2,5.3,5.7,6.2,5.4,5.56,5.56
2,44.1,129,141,52.9,37.8,80.96,80.96,5.2,5.7,5.8,6.4,5.7,5.76,5.76
3,34.2,30.5,86.4,50,38.8,47.98,47.98,5.3,5.9,5.9,6.5,5.6,5.84,5.84
4,32.3,37.8,116,44.1,38.2,53.68,53.68,5.6,6,6.1,6.6,5.8,6.02,6.02
5,102,32.3,214,58.8,27.9,87,87,5.6,6,6.9,6.9,5.9,6.26,6.26
6,119,41.6,85.2,70.5,33.3,69.92,69.92,5.7,6.1,6.5,7,6,6.26,6.26
7,118,47.2,88.5,102,37.1,78.56,78.56,5.6,6,6.1,7.2,5,5.98,5.98
8,31.4,30.5,26.8,94.1,35.2,43.6,43.6,5.8,6.7,6.4,7.2,5.1,6.24,6.24
9,41,40,58.8,55.5,47,48.46,48.46,6,6.8,6.5,6.5,5.2,6.2,6.2
10,44.1,74.3,64.7,44.1,36.1,52.66,52.66,6,6.2,6.4,6.1,5.4,6.02,6.02
11,50,41.1,47,41.6,45.7,45.08,45.08,6.2,5.9,6.7,6.2,6.4,6.28,6.28
12,57.1,37.8,47,50,37.1,45.8,45.8,5.9,6,6.8,6.5,6.6,6.36,6.36
13,51.4,25.7,50,48.5,32.3,41.58,41.58,5.9,6,7,6.5,6.5,6.38,6.38
14,47,32.3,44.1,52.9,33.3,41.92,41.92,6,6.1,7.1,6.6,6.7,6.5,6.5
15,47,44.1,47,61.7,50,49.96,49.96,6.2,6.1,7.3,6.6,6.5,6.54,6.54
16,108,50,55.8,144,47,80.96,80.96,5.6,6.1,7.3,7,5.9,6.38,6.38
17,144,41.1,52.9,67.6,39.4,69,69,5.2,6.4,7.3,6.6,5.4,6.18,6.18
18,50,35.2,41.1,38.2,71.4,47.18,47.18,5.6,6.6,7.5,6,5.2,6.18,6.18
19,91.1,35.2,66.6,58.8,44.1,59.16,59.16,5.7,6,7.8,6.2,5.4,6.22,6.22
20,84.8,144,63.6,52.9,50,79.06,79.06,5.8,5.4,7.4,6.2,5.7,6.1,6.1
21,118,147,58.8,61.7,58.8,88.86,88.86,5.8,5.4,7.5,6.2,5.9,6.16,6.16
