RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,42.8,125,40,37.1,24.3,53.84,53.84,6.5,5.3,5.7,5.6,5.8,5.78,5.78
2,37.8,86.8,28.2,36.1,41.1,46,46,6.7,5.9,5.9,5.7,5.7,5.98,5.98
3,62.8,41.1,37.1,37.5,94.1,54.52,54.52,6.9,5.8,5.8,5.7,5.6,5.96,5.96
4,36.1,55.8,35.2,34.2,83.3,48.92,48.92,6.9,5.8,6,6,5.8,6.1,6.1
5,50,37.1,28.5,37.1,91.4,48.82,48.82,6.8,5.8,6.2,6.1,5.8,6.14,6.14
6,42.8,22.9,38.2,41.1,80.5,45.1,45.1,7.3,5.8,6.4,6,5.9,6.28,6.28
7,44.1,30.5,32.4,32.3,69.4,41.74,41.74,7.3,5.8,6.5,6.1,6.1,6.36,6.36
8,158,41.1,32.3,37.1,94.1,72.52,72.52,7.4,5.8,6.4,6,6.3,6.38,6.38
9,42.8,38.2,35.1,36.1,85,47.44,47.44,7.6,5.9,6.5,6.4,6.3,6.54,6.54
10,94.1,41.6,38.2,38.2,102,62.82,62.82,7.7,5.7,6.7,6.2,6.3,6.52,6.52
11,41.1,44.1,128,29.4,102,68.92,68.92,7.8,5.7,6.8,6.1,6.3,6.54,6.54
12,44.1,132,41.1,30,150,79.44,79.44,8,5.9,6.1,5.9,6.2,6.42,6.42
13,57.1,117,27,32.3,105,67.68,67.68,8.1,6.1,6,5.9,6.1,6.44,6.44
14,61.7,170,34.2,38.2,130,86.82,86.82,8,6.1,6,5.8,6.4,6.46,6.46
15,150,147,38.2,41.1,91.4,93.54,93.54,8.1,6.3,6.1,5.9,6.8,6.64,6.64
16,155,119,35.8,45.7,117,94.5,94.5,8,6.2,5.4,5.1,6.8,6.3,6.3
17,160,114,42.4,39.3,111,93.34,93.34,8.4,6.4,5.5,5.1,7,6.48,6.48
18,105,125,41.1,34.2,81,77.26,77.26,8.6,6.4,5.8,5.1,7.3,6.64,6.64
19,113,117,58.8,41.1,41.1,74.2,74.2,8.4,5.4,5.9,5.6,7.4,6.54,6.54
20,50,61.7,47,51.4,50,52.02,52.02,8.6,5.8,6,5.6,7.4,6.68,6.68
21,52.9,44.1,61.7,47,50,51.14,51.14,8.9,6.1,5.7,5.7,7.3,6.74,6.74
22,44.1,47,63.6,44.1,55.8,50.92,50.92,8.9,6.1,5.9,5.8,7.5,6.84,6.84
