RECORD,T1,T2,T3,T4,T5,AVG,CPU_EWMA,T1,T2,T3,T4,T5,AVG,MEM_EWMA
1,102,42.8,37.1,51.4,48.5,56.36,56.36,5.4,6.3,5.4,5.3,6.6,5.8,5.8
2,44.1,52.9,41.1,112,43.2,58.66,58.66,5.4,6.6,5.5,5,6.7,5.84,5.84
3,48.4,52.9,41.1,108,45.7,59.22,59.22,5.7,6.9,6.9,5.2,6.9,6.32,6.32
4,44.1,111,35.2,111,42.8,68.82,68.82,5.8,7,7.1,5.2,7,6.42,6.42
5,43.2,120,41.1,116,50,74.06,74.06,6.1,7.1,6.7,5.3,7,6.44,6.44
6,34.2,111,37.1,138,50,74.06,74.06,6.1,7,6.9,5.4,7.1,6.5,6.5
7,63.6,111,48.5,126,44.1,78.64,78.64,6.3,7.4,6.5,5.7,7.2,6.62,6.62
8,44.1,120,47,111,52.9,75,75,5.5,7.5,6.2,5.7,7.4,6.46,6.46
9,47,120,44.1,78.7,44.1,66.78,66.78,5.4,7.6,6.4,5.7,7.5,6.52,6.52
10,48.4,132,54.2,105,50,77.92,77.92,5.4,7.6,6.4,5.7,7.6,6.54,6.54
11,42.4,108,54.2,114,41.1,71.94,71.94,5.4,7.8,6.6,5.7,7.7,6.64,6.64
12,47,105,47,117,38.2,70.84,70.84,5.6,7.9,6.8,6.3,7.6,6.84,6.84
13,52.9,108,47,106,61.7,75.12,75.12,6,7.9,7,6.3,7.9,7.02,7.02
14,50,108,123,130,58.8,93.96,93.96,6,8.2,7.1,6.3,8,7.12,7.12
15,57.5,108,120,105,50,88.1,88.1,6.3,8.4,7.3,6.4,8,7.28,7.28
16,63.6,111,47,85.2,52.7,71.9,71.9,6.5,8.5,7.1,6.4,8,7.3,7.3
17,45.4,117,63.6,108,52.9,77.38,77.38,6.5,8.7,7.2,6.4,8.3,7.42,7.42
18,44.1,129,63.6,44.1,50,66.16,66.16,6.6,8.7,7.1,7,8.3,7.54,7.54
19,42.4,138,52.9,41.6,47.2,64.42,64.42,6.8,8.9,7.4,6.9,8.6,7.72,7.72
20,50,117,45.9,52.9,50,63.16,63.16,6.7,9.2,7.3,7.2,8.6,7.8,7.8
21,38.2,47,50,50,50,47.04,47.04,7.1,9.2,7.5,7.4,8.8,8,8
22,47,44.1,52.7,44.1,47,46.98,46.98,7.1,9.2,7.7,7.6,8.9,8.1,8.1
23,44.1,44.1,51.4,50,35.2,44.96,44.96,7.2,9.2,7.7,7.6,8.9,8.12,8.12
24,44.1,50,114,47,38.2,58.66,58.66,6.5,9.7,7.9,7.6,9.1,8.16,8.16
25,44.1,55.8,121,47,105,74.58,74.58,6,9.8,8,7.9,6.2,7.58,7.58
26,42.4,52.9,108,42.8,76.4,64.5,64.5,5.3,9.8,7.9,8.3,6.2,7.5,7.5
27,48.4,47,117,52.9,50,63.06,63.06,5.3,10,8.3,8.2,6.2,7.6,7.6
28,39.3,40,126,61.7,45.7,62.54,62.54,5.6,6.5,8.2,8.4,6.6,7.06,7.06
29,48.4,52.9,117,52.9,44.1,63.06,63.06,5.6,6.6,8.5,8.5,6.6,7.16,7.16
30,69.6,52.9,47,47,50,53.3,53.3,5.9,6.6,8.7,8.7,6.8,7.34,7.34
31,48.4,55.8,47,44.1,50,49.06,49.06,5.8,6.8,8.8,8.9,6.6,7.38,7.38
32,52.9,55.8,58.8,45.4,61.7,54.92,54.92,5.9,6.9,9,8.9,6.7,7.48,7.48
33,48.4,50,47,60.6,52.9,51.78,51.78,6.3,7,9.3,9.1,6.7,7.68,7.68
34,45.4,47,41.1,50,47,46.1,46.1,6.5,7.2,9.3,5.8,7,7.16,7.16
35,44.1,58.8,50,50,52.9,51.16,51.16,6.5,7.2,9.5,5.8,7.1,7.22,7.22
36,57.5,50,52.9,44.1,50,50.9,50.9,7.3,7.4,9.5,5.1,7.2,7.3,7.3
37,51.5,44.1,27,50,50,44.52,44.52,7.2,7.6,9.4,5,7.3,7.3,7.3
38,42.4,50,44.1,44.1,58.8,47.88,47.88,7.3,7.6,9,5.3,7.5,7.34,7.34
39,42.4,50,50,44.1,47,46.7,46.7,7.7,7.6,5.4,5.9,7.8,6.88,6.88
40,44.1,67.6,50,44.1,58.8,52.92,52.92,7.5,7.8,5.3,5.9,7.9,6.88,6.88
41,47,120,44.1,52.9,52.9,63.38,63.38,5.8,7.9,5.4,6.2,7.6,6.58,6.58
42,51.5,176,47,47,44.1,73.12,73.12,6,7.4,5.5,6.2,5.9,6.2,6.2
43,47,170,60.6,52.9,44.1,74.92,74.92,6,6.6,5.5,6.6,6,6.14,6.14
44,48.4,152,55.8,47,55.8,71.8,71.8,6,6.8,6.1,6.5,6.3,6.34,6.34
45,58.8,158,41.1,45.4,50,70.66,70.66,5.7,7,5.3,5.3,6.4,5.94,5.94
46,51.5,141,44.1,38.2,51.5,65.26,65.26,5.9,7.1,5.4,5.5,6.4,6.06,6.06
47,48.4,155,50,52.9,52.9,71.84,71.84,5.9,7.3,5.4,5.6,6,6.04,6.04
48,45.4,138,58.8,58.8,50,70.2,70.2,6.2,6.5,5.5,5.7,6.2,6.02,6.02
49,51.5,150,44.1,47,50,68.52,68.52,6.1,6.5,5.5,5.9,6.3,6.06,6.06
50,57.5,144,52.9,47,52.9,70.86,70.86,5.6,6.8,5.1,5.5,6.3,5.86,5.86
